"","treated","age","education","black","hispanic","married","nodegree","re74","re78","re75"
"188",0,44,12,0,0,0,0,0,0,0
"189",0,28,12,1,0,1,0,0,0,0
"190",0,54,12,0,0,1,0,0,0,0
"191",0,55,12,0,1,1,0,0,0,0
"192",0,47,12,0,0,1,0,0,0,0
"193",0,25,12,1,0,0,0,0,0,0
"194",0,44,12,0,0,1,0,0,0,0
"195",0,50,12,1,0,1,0,0,0,0
"196",0,23,12,1,0,0,0,0,4728.725,0
"197",0,49,14,0,0,1,0,0,0,0
"198",0,55,14,0,0,1,0,0,0,0
"199",0,34,14,1,0,1,0,0,0,0
"200",0,34,16,0,0,1,0,0,11821.813,0
"201",0,55,13,0,1,1,0,0,0,0
"202",0,52,12,0,0,1,0,0,0,0
"203",0,52,15,0,0,1,0,0,0,0
"204",0,30,16,0,0,1,0,0,0,0
"205",0,21,12,0,0,0,0,0,0,0
"206",0,30,17,0,0,0,0,0,0,0
"207",0,44,12,0,0,1,0,0,0,0
"208",0,46,12,0,0,0,0,0,0,0
"209",0,53,17,0,0,1,0,0,0,0
"210",0,26,16,0,0,0,0,0,9014.1321,0
"211",0,49,12,0,0,1,0,0,13299.539,0
"212",0,39,15,0,0,1,0,0,1921.0445,0
"213",0,26,17,0,0,1,0,0,11821.813,0
"214",0,32,16,0,0,1,0,0,0,0
"215",0,34,12,0,0,1,0,0,0,0
"216",0,31,14,0,0,1,0,0,0,0
"217",0,39,17,0,1,1,0,0,8866.3594,0
"218",0,40,17,0,0,1,0,0,0,0
"219",0,31,12,0,0,1,0,0,0,0
"220",0,27,13,0,0,1,0,0,28076.805,0
"221",0,48,12,0,0,1,0,0,0,0
"222",0,41,13,0,0,1,0,0,0,0
"223",0,26,14,0,0,0,0,0,0,0
"224",0,50,17,0,0,0,0,0,0,0
"225",0,48,12,0,0,1,0,0,12930.108,0
"226",0,45,16,0,0,1,0,0,0,0
"227",0,37,13,0,0,1,0,0,0,0
"228",0,33,12,0,0,1,0,0,0,0
"229",0,31,12,0,0,1,0,0,0,0
"230",0,36,12,1,0,1,0,0,17732.719,0
"231",0,44,13,0,0,1,0,0,0,0
"232",0,28,17,0,0,1,0,0,0,0
"233",0,30,17,0,0,1,0,0,0,0
"234",0,42,16,0,0,1,0,0,0,0
"235",0,30,12,0,0,1,0,0,0,0
"236",0,27,16,0,0,1,0,0,0,0
"237",0,37,12,0,0,1,0,0,0,0
"238",0,37,12,0,0,1,0,0,0,0
"239",0,45,12,0,0,1,0,0,22165.899,0
"240",0,35,16,0,0,1,0,0,0,0
"241",0,37,17,0,0,1,0,0,66497.696,0
"242",0,27,17,0,0,1,0,0,0,0
"243",0,47,14,0,0,1,0,0,0,0
"244",0,48,12,0,0,1,0,0,0,0
"245",0,42,12,0,0,1,0,0,0,0
"246",0,43,12,0,0,1,0,0,0,0
"247",0,46,12,0,0,1,0,0,0,0
"248",0,46,12,0,0,1,0,0,0,0
"249",0,46,12,0,0,1,0,0,0,0
"250",0,29,16,0,0,1,0,0,8396.4424,0
"251",0,39,13,0,0,1,0,0,0,0
"252",0,32,12,0,0,1,0,0,0,0
"253",0,48,16,0,0,1,0,0,0,0
"254",0,48,16,0,0,1,0,0,0,0
"255",0,41,13,0,0,1,0,0,0,0
"256",0,42,13,0,0,1,0,0,0,0
"257",0,42,13,0,0,1,0,0,0,0
"258",0,42,13,0,0,1,0,0,0,0
"259",0,54,13,0,0,1,0,0,0,0
"260",0,29,14,0,0,1,0,0,0,0
"261",0,54,12,0,0,1,0,0,0,0
"262",0,54,12,0,0,1,0,0,0,0
"263",0,26,14,0,0,1,0,0,0,0
"264",0,43,17,0,0,1,0,0,36943.164,0
"265",0,54,12,0,0,1,0,0,0,0
"266",0,37,12,0,0,1,0,0,0,0
"267",0,54,16,0,0,1,0,0,0,0
"268",0,48,17,0,0,1,0,0,0,0
"269",0,44,12,0,0,1,0,0,0,0
"270",0,54,12,0,0,1,0,0,0,0
"271",0,38,12,0,0,1,0,0,0,0
"272",0,37,13,0,0,1,0,0,0,0
"273",0,27,17,0,0,1,0,0,0,0
"274",0,51,12,0,0,1,0,0,0,0
"275",0,39,12,0,0,1,0,0,0,0
"276",0,55,14,0,0,1,0,0,0,0
"277",0,54,13,0,0,1,0,0,0,0
"278",0,54,13,0,0,1,0,0,0,0
"279",0,34,12,0,0,1,0,0,0,0
"280",0,50,14,0,0,1,0,0,0,0
"281",0,50,12,0,0,1,0,0,0,0
"282",0,21,14,0,1,0,0,0,3657.3733,71.612903
"283",0,26,12,0,0,1,0,0,0,71.612903
"284",0,21,13,0,0,0,0,0,2659.9078,692.85484
"285",0,23,16,0,0,1,0,0,0,1521.7742
"286",0,21,15,0,0,0,0,0,14777.266,3222.5806
"287",0,23,14,0,0,0,0,0,5319.8157,3401.6129
"288",0,27,16,0,0,1,0,0,0,4833.871
"289",0,25,12,0,0,1,0,0,26599.078,5729.0323
"290",0,27,17,0,0,0,0,0,7388.6329,6087.0968
"291",0,55,12,0,0,1,0,0,10344.086,6266.129
"292",0,20,12,0,0,1,0,0,0,7161.2903
"293",0,18,12,0,0,1,0,0,19210.445,8056.4516
"294",0,27,12,0,0,1,0,0,20688.172,8235.4839
"295",0,28,16,0,0,1,0,0,36943.164,8951.6129
"296",0,36,12,1,0,1,0,0,11821.813,8951.6129
"297",0,33,13,1,0,1,0,0,20688.172,10741.935
"298",0,36,12,0,0,1,0,0,0,10741.935
"299",0,27,13,0,0,1,0,0,29554.531,16112.903
"300",0,45,17,0,0,1,0,0,17732.719,16112.903
"301",0,45,17,0,0,1,0,0,17732.719,16112.903
"302",0,45,17,0,0,1,0,0,17732.719,16112.903
"303",0,31,12,0,0,1,0,0,0,17903.226
"304",0,34,12,0,0,1,0,0,63542.243,17903.226
"305",0,34,12,0,0,1,0,0,63542.243,17903.226
"306",0,47,14,0,0,1,0,0,22165.899,17903.226
"307",0,35,16,0,0,1,0,0,17732.719,19693.548
"308",0,43,17,0,0,1,0,0,29554.531,21161.613
"309",0,25,12,1,0,1,0,0,1220.6022,21483.871
"310",0,29,15,0,0,0,0,0,22313.671,21483.871
"311",0,31,12,0,0,1,0,0,20688.172,21483.871
"312",0,52,12,0,0,1,0,0,22165.899,21483.871
"313",0,22,16,0,0,0,0,0,32509.985,22558.065
"314",0,53,15,0,0,1,0,0,28076.805,24169.355
"315",0,29,17,0,0,1,0,0,36898.833,25959.677
"316",0,31,13,0,0,1,0,0,39898.618,25959.677
"317",0,35,12,0,0,1,0,0,29554.531,26138.71
"318",0,29,16,0,0,1,0,0,23643.625,26854.839
"319",0,39,12,0,0,1,0,0,31032.258,28645.161
"320",0,37,14,0,0,1,0,0,0,32225.806
"321",0,30,14,0,0,1,0,0,22165.899,32225.806
"322",0,43,17,0,0,1,0,0,41376.344,42251.613
"323",0,32,17,0,0,1,0,0,39898.618,46548.387
"324",0,44,12,0,0,1,0,0,81274.962,71612.903
"325",0,32,16,0,0,1,0,577.98371,18609.011,6910.6452
"326",0,43,12,1,0,1,0,715.13238,5910.9063,1879.8387
"327",0,24,12,1,0,0,0,783.70672,10344.086,0
"328",0,22,13,0,0,0,0,783.70672,2305.2535,0
"329",0,35,15,0,0,1,0,979.6334,0,537.09677
"330",0,26,15,0,0,0,0,979.6334,3250.9985,1879.8387
"331",0,29,17,0,0,1,0,979.6334,0,8951.6129
"332",0,23,12,1,0,0,0,1077.5967,5910.9063,3222.5806
"333",0,19,12,0,0,1,0,1154.0081,26599.078,8593.5484
"334",0,48,16,0,0,1,0,1240.2159,1152.6267,1466.2742
"335",0,48,16,0,0,1,0,1240.2159,1152.6267,1466.2742
"336",0,22,12,1,0,1,0,1269.6049,0,0
"337",0,20,12,1,0,0,0,1367.5682,2955.4531,12532.258
"338",0,24,17,0,0,1,0,1371.4868,24825.806,0
"339",0,27,16,0,0,1,0,1469.4501,4363.7266,1253.2258
"340",0,21,14,0,0,0,0,1506.6762,11082.949,2685.4839
"341",0,53,13,0,0,1,0,1567.4134,4728.725,3938.7097
"342",0,53,13,0,0,1,0,1567.4134,4728.725,3938.7097
"343",0,53,16,0,0,1,0,1665.3768,2955.4531,0
"344",0,22,15,0,0,1,0,1763.3401,22165.899,5370.9677
"345",0,21,15,0,0,0,0,1763.3401,4137.6344,9667.7419
"346",0,30,12,0,0,1,0,1959.2668,1477.7266,1790.3226
"347",0,21,12,1,0,0,0,1959.2668,1152.6267,5460.4839
"348",0,27,16,0,0,1,0,1959.2668,21427.035,17545.161
"349",0,22,15,0,0,0,0,1967.1039,5024.2704,2864.5161
"350",0,22,12,1,0,1,0,2006.2892,0,2470.6452
"351",0,23,13,0,0,1,0,2155.1935,11378.495,5370.9677
"352",0,33,12,0,0,1,0,2351.1202,2770.7373,0
"353",0,24,13,0,0,0,0,2351.1202,14777.266,3127.6935
"354",0,20,12,1,0,0,0,2351.1202,17732.719,4475.8065
"355",0,22,16,0,0,0,0,2351.1202,25860.215,23274.194
"356",0,19,12,0,0,1,0,2547.0468,0,10741.935
"357",0,22,15,0,0,1,0,2547.0468,25860.215,17187.097
"358",0,43,14,0,0,1,0,2645.0102,6992.6022,0
"359",0,39,12,0,0,1,0,2742.9735,11821.813,7161.2903
"360",0,28,12,1,0,0,0,2938.9002,0,2864.5161
"361",0,19,14,0,0,0,0,2938.9002,0,3222.5806
"362",0,26,17,0,0,1,0,2938.9002,23643.625,12532.258
"363",0,18,12,0,0,1,0,3134.8269,20688.172,11100
"364",0,23,15,0,0,1,0,3320.9572,9974.6544,2506.4516
"365",0,24,12,1,0,0,0,3330.7536,11821.813,4654.8387
"366",0,27,12,0,0,1,0,3526.6802,5910.9063,0
"367",0,29,17,0,0,1,0,3526.6802,24382.488,15217.742
"368",0,22,12,1,0,0,0,3579.5804,11821.813,17133.387
"369",0,27,12,0,0,1,0,3722.6069,1090.5622,254.22581
"370",0,27,15,0,0,1,0,3722.6069,19210.445,4654.8387
"371",0,20,12,1,0,0,0,3730.444,13299.539,8951.6129
"372",0,27,12,1,0,1,0,3918.5336,17732.719,1994.4194
"373",0,23,12,1,0,1,0,3918.5336,8866.3594,2864.5161
"374",0,23,12,1,0,1,0,3918.5336,9752.9954,11637.097
"375",0,22,12,0,0,1,0,3918.5336,39898.618,15396.774
"376",0,31,12,1,0,1,0,3918.5336,24973.579,18440.323
"377",0,26,17,0,0,0,0,4173.2383,9457.4501,11637.097
"378",0,20,12,0,0,1,0,4310.387,4433.1797,0
"379",0,30,17,0,0,1,0,4310.387,22476.221,4296.7742
"380",0,42,16,0,0,0,0,4398.554,16254.992,17903.226
"381",0,21,14,0,0,1,0,4506.3136,23052.535,9309.6774
"382",0,25,16,0,0,1,0,4604.277,0,2954.0323
"383",0,27,15,0,0,1,0,4702.2403,0,0
"384",0,26,17,0,0,1,0,4702.2403,26599.078,19693.548
"385",0,29,16,0,0,1,0,4800.2037,23643.625,17187.097
"386",0,20,12,0,0,0,0,4811.9593,0,716.12903
"387",0,52,12,0,0,1,0,4898.167,0,0
"388",0,23,17,0,0,0,0,4898.167,33987.711,2148.3871
"389",0,21,14,0,0,1,0,4898.167,17141.628,7161.2903
"390",0,24,16,0,0,0,0,4898.167,17732.719,8951.6129
"391",0,30,17,0,0,1,0,4898.167,5172.043,12084.677
"392",0,25,17,0,0,0,0,4996.1303,5030.1813,17414.468
"393",0,21,12,0,0,1,0,5094.0937,7388.6329,6803.2258
"394",0,28,12,0,0,1,0,5094.0937,9014.1321,10741.935
"395",0,20,12,0,0,1,0,5182.2607,15244.227,6266.129
"396",0,36,16,0,0,0,0,5290.0204,5319.8157,4833.871
"397",0,19,12,1,0,0,0,5387.9837,12117.358,8056.4516
"398",0,21,12,1,0,1,0,5868.0041,10048.541,3043.5484
"399",0,47,12,0,0,1,0,5868.0041,5319.8157,9513.7742
"400",0,24,16,0,0,1,0,5877.8004,33987.711,4833.871
"401",0,24,12,1,0,1,0,5877.8004,17732.719,8951.6129
"402",0,25,17,0,0,1,0,5877.8004,30101.29,10562.903
"403",0,21,16,0,0,1,0,5877.8004,16993.856,10562.903
"404",0,31,12,1,0,1,0,5877.8004,15959.447,11064.194
"405",0,26,14,0,0,1,0,5877.8004,31032.258,13427.419
"406",0,22,12,1,0,0,0,5891.5153,5763.1336,10367.758
"407",0,20,13,1,0,0,0,5897.3931,14777.266,12532.258
"408",0,20,13,0,1,1,0,6073.7271,27337.942,10025.806
"409",0,27,14,0,0,1,0,6269.6538,26007.988,0
"410",0,26,12,0,0,0,0,6269.6538,10344.086,11637.097
"411",0,23,17,0,0,1,0,6367.6171,0,5370.9677
"412",0,23,12,1,0,0,0,6494.9694,14186.175,12532.258
"413",0,22,12,1,0,0,0,6583.1365,0,4475.8065
"414",0,21,12,1,0,0,0,6661.5071,11208.556,11458.065
"415",0,21,12,0,0,1,0,6661.5071,25121.352,12532.258
"416",0,28,14,0,0,1,0,6739.8778,13742.857,7877.4194
"417",0,27,12,1,0,1,0,6855.4745,8275.2688,0
"418",0,25,14,0,0,0,0,6857.4338,0,1790.3226
"419",0,30,12,0,0,1,0,6857.4338,3250.9985,3222.5806
"420",0,27,13,1,0,1,0,6857.4338,24514.006,4096.2581
"421",0,22,13,0,0,0,0,6857.4338,17363.287,6266.129
"422",0,23,16,0,0,1,0,6857.4338,22165.899,14143.548
"423",0,24,12,1,0,1,0,6857.4338,26599.078,14322.581
"424",0,19,13,0,0,0,0,6857.4338,17732.719,15217.742
"425",0,21,14,0,0,1,0,6974.9898,17141.628,11407.935
"426",0,29,17,0,0,1,0,7053.3605,8866.3594,7161.2903
"427",0,27,16,0,0,1,0,7053.3605,25121.352,11637.097
"428",0,28,15,0,0,1,0,7249.2872,9161.9048,15217.742
"429",0,26,12,0,0,1,0,7406.0285,2955.4531,0
"430",0,54,12,0,0,1,0,7445.2138,0,0
"431",0,28,15,1,0,0,0,7445.2138,12708.449,0
"432",0,27,15,0,0,1,0,7445.2138,18471.582,10741.935
"433",0,26,13,0,0,0,0,7449.1324,9605.2227,5729.0323
"434",0,21,12,0,0,1,0,7523.5845,0,7934.7097
"435",0,53,14,1,0,1,0,7641.1405,8127.4962,8421.6774
"436",0,21,13,0,0,1,0,7688.1629,11082.949,12743.516
"437",0,22,13,0,0,0,0,7739.1039,16254.992,3759.6774
"438",0,27,16,0,0,0,0,7837.0672,0,0
"439",0,37,15,0,1,1,0,7837.0672,11821.813,179.03226
"440",0,33,13,0,0,0,0,7837.0672,16254.992,3580.6452
"441",0,19,12,1,0,0,0,7837.0672,3694.3164,3759.6774
"442",0,28,12,0,0,1,0,7837.0672,15663.902,4475.8065
"443",0,32,12,1,0,1,0,7837.0672,8866.3594,5370.9677
"444",0,24,12,0,0,0,0,7837.0672,5910.9063,5370.9677
"445",0,22,12,0,0,0,0,7837.0672,17732.719,7497.871
"446",0,20,12,1,0,1,0,7837.0672,20688.172,8951.6129
"447",0,23,12,0,0,1,0,7837.0672,12058.249,8951.6129
"448",0,27,12,1,0,1,0,7837.0672,2210.679,8951.6129
"449",0,23,12,1,0,1,0,7837.0672,21870.353,12532.258
"450",0,19,12,0,1,1,0,7837.0672,13299.539,12532.258
"451",0,27,14,0,0,0,0,7837.0672,16254.992,14322.581
"452",0,22,16,0,0,1,0,7837.0672,16254.992,16112.903
"453",0,42,12,0,0,1,0,7837.0672,15516.129,16112.903
"454",0,20,13,0,0,0,0,7837.0672,2216.5899,17491.452
"455",0,29,13,0,0,0,0,7958.5418,0,0
"456",0,23,12,1,0,1,0,7993.8086,4433.1797,13427.419
"457",0,19,12,0,0,1,0,8054.5458,11963.674,9309.6774
"458",0,21,12,1,0,1,0,8150.5499,10583.478,13092.629
"459",0,26,12,0,0,1,0,8228.9206,11969.585,13606.452
"460",0,21,16,0,0,0,0,8228.9206,27337.942,22379.032
"461",0,24,12,1,0,1,0,8275.943,8335.8556,15416.468
"462",0,29,12,0,0,1,0,8389.5804,14481.72,5908.0645
"463",0,26,12,1,0,1,0,8616.8554,10344.086,8593.5484
"464",0,23,14,1,0,1,0,8675.6334,13003.994,10398.194
"465",0,25,12,0,0,0,0,8683.4705,15811.674,9130.6452
"466",0,21,12,0,0,1,0,8816.7006,18096.24,5729.0323
"467",0,25,12,1,0,0,0,8816.7006,10344.086,6266.129
"468",0,22,12,0,0,1,0,8816.7006,15486.575,9939.871
"469",0,22,12,0,0,1,0,8816.7006,19653.763,10741.935
"470",0,23,12,1,0,1,0,8816.7006,18471.582,12174.194
"471",0,18,12,0,0,0,0,8816.7006,22165.899,14322.581
"472",0,27,12,1,0,0,0,8816.7006,19210.445,14322.581
"473",0,21,12,1,0,0,0,8816.7006,5578.4178,14859.677
"474",0,25,12,0,0,1,0,8816.7006,26599.078,16112.903
"475",0,21,13,0,0,1,0,8816.7006,28224.578,17903.226
"476",0,27,12,0,0,1,0,8816.7006,0,44758.065
"477",0,23,12,0,0,1,0,8840.2118,10416.495,7161.2903
"478",0,21,12,0,0,1,0,8867.6415,17732.719,14995.742
"479",0,23,14,1,0,1,0,8934.2566,8866.3594,12532.258
"480",0,23,16,1,0,0,0,9012.6273,19210.445,16490.661
"481",0,31,17,0,0,1,0,9012.6273,39817.343,29465.129
"482",0,27,12,1,0,1,0,9067.4868,6649.7696,5370.9677
"483",0,21,12,1,0,1,0,9169.3686,7388.6329,7161.2903
"484",0,23,12,1,0,1,0,9169.3686,10403.195,8271.2903
"485",0,19,12,0,0,1,0,9208.554,11526.267,5550
"486",0,46,12,0,0,1,0,9284.9654,10376.596,8504.0323
"487",0,24,12,0,0,1,0,9371.1731,2216.5899,2864.5161
