internet,male,age,age2,log_expense,Edu_years,caucasian,employed,tvcable,bussines,studying,children,numpeople,single,strat2,strat3,strat4,strat5,strat6
0,1,46,2116,5.332822701,6,0,1,0,0,1,0,1,1,0,1,0,0,0
0,0,50,2500,4.499913598,12,0,1,0,0,0,0,4,0,1,0,0,0,0
0,0,74,5476,4.682235111,0,0,0,0,1,0,0,2,0,1,0,0,0,0
0,0,63,3969,5.310843782,0,0,0,1,0,1,1,4,0,1,0,0,0,0
0,1,47,2209,5.678568593,12,0,1,0,1,1,2,3,1,1,0,0,0,0
0,0,22,484,5.19306079,6,1,1,0,0,1,2,4,0,1,0,0,0,0
0,0,27,729,4.954168782,12,0,1,0,0,1,2,4,0,1,0,0,0,0
0,0,73,5329,5.752676602,0,0,0,1,0,0,0,2,0,1,0,0,0,0
0,0,50,2500,5.212863394,12,0,1,0,0,1,1,3,0,0,1,0,0,0
1,0,49,2401,6.291673005,17,0,1,1,0,0,0,4,0,0,1,0,0,0
0,0,32,1024,4.499913598,12,0,1,1,0,1,1,3,1,1,0,0,0,0
0,1,56,3136,5.886207943,12,0,0,1,0,1,1,3,1,0,1,0,0,0
0,1,48,2304,5.886207943,12,0,1,1,0,1,1,4,1,1,0,0,0,0
0,1,39,1521,4.905378625,6,0,1,1,0,1,1,3,0,1,0,0,0,0
0,0,40,1600,4.905378625,6,0,1,0,0,1,1,3,0,1,0,0,0,0
0,1,63,3969,4.499913598,0,0,0,0,0,0,0,1,1,1,0,0,0,0
0,1,56,3136,5.886207943,6,0,1,1,1,1,1,4,1,1,0,0,0,0
0,0,40,1600,5.598525842,12,0,1,0,0,1,1,3,0,0,1,0,0,0
0,1,62,3844,5.723689018,6,0,0,0,0,0,0,5,1,0,1,0,0,0
0,0,63,3969,5.752676602,6,0,1,0,0,1,1,3,0,0,1,0,0,0
0,1,63,3969,4.905378625,6,0,0,0,0,0,1,5,1,1,0,0,0,0
0,0,36,1296,5.678568593,12,0,1,0,0,1,3,6,0,1,0,0,0,0
0,0,28,784,4.723057127,0,0,1,0,0,1,2,5,0,1,0,0,0,0
0,1,60,3600,4.499913598,6,0,0,0,1,0,0,1,1,1,0,0,0,0
0,1,45,2025,5.416204308,0,1,1,0,0,1,2,7,0,1,0,0,0,0
0,0,53,2809,5.19306079,12,0,1,0,0,0,0,2,0,1,0,0,0,0
0,0,30,900,5.19306079,0,0,1,0,0,1,3,5,0,0,0,0,0,0
0,0,68,4624,5.059529389,12,1,0,0,0,1,1,4,0,1,0,0,0,0
0,0,33,1089,5.19306079,12,1,1,0,0,1,4,8,0,1,0,0,0,0
0,0,41,1681,5.598525842,12,0,1,0,1,1,2,4,0,1,0,0,0,0
0,0,31,961,5.19306079,6,0,1,0,0,0,1,3,0,1,0,0,0,0
0,0,45,2025,5.19306079,6,0,1,0,0,1,1,3,0,1,0,0,0,0
0,0,55,3025,4.905378625,6,0,1,1,0,0,0,4,0,1,0,0,0,0
0,0,43,1849,5.416204308,6,1,1,0,1,1,4,8,0,1,0,0,0,0
0,0,59,3481,7.02564222,6,0,0,0,0,0,0,2,0,0,0,0,0,0
0,0,31,961,5.19306079,6,0,1,0,0,1,2,4,0,1,0,0,0,0
0,0,42,1764,5.19306079,0,0,1,0,0,1,5,7,0,1,0,0,0,0
0,0,55,3025,5.19306079,0,0,1,0,0,0,1,5,0,1,0,0,0,0
0,1,28,784,4.905378625,12,0,1,1,1,1,3,4,1,1,0,0,0,0
0,0,56,3136,4.905378625,6,0,0,0,0,0,0,1,1,1,0,0,0,0
0,1,36,1296,5.059529389,12,0,0,0,0,1,3,4,1,1,0,0,0,0
0,1,73,5329,4.969917253,0,0,0,0,0,1,0,5,1,1,0,0,0,0
0,0,35,1225,4.969917253,6,0,0,0,0,1,2,4,0,0,0,0,0,0
0,0,48,2304,6.109351466,6,1,1,1,0,1,2,4,0,0,1,0,0,0
0,0,43,1849,3.806766418,0,0,1,0,0,0,0,2,0,1,0,0,0,0
1,0,67,4489,6.514816582,17,1,0,1,0,0,0,2,0,0,0,0,1,0
1,1,67,4489,6.802498658,17,0,1,1,1,0,0,2,1,0,0,0,1,0
0,0,24,576,5.059529389,12,0,1,0,0,1,0,3,0,0,1,0,0,0
0,0,52,2704,6.802498658,6,0,0,1,0,1,1,4,0,0,0,1,0,0
0,1,82,6724,6.514816582,6,0,0,1,0,0,0,3,1,0,0,1,0,0
1,1,43,1849,6.514816582,17,0,0,1,0,0,0,1,1,0,0,0,1,0
1,1,62,3844,6.514816582,12,0,0,1,0,0,0,3,1,0,0,0,1,0
0,1,96,9216,6.697138156,12,0,0,1,0,0,0,4,1,0,0,1,0,0
0,0,39,1521,6.514816582,12,0,1,1,0,0,0,3,0,0,0,0,1,0
0,1,77,5929,7.02564222,12,0,0,1,0,0,0,4,1,0,0,0,1,0
1,1,40,1600,6.802498658,17,0,1,1,0,1,2,3,1,0,0,0,1,0
1,0,40,1600,6.697138156,17,1,1,1,0,1,1,3,0,0,0,1,0,0
0,1,45,2025,5.886207943,17,0,0,0,0,0,0,1,1,0,0,0,1,0
0,0,47,2209,6.109351466,12,0,0,1,0,1,2,7,0,0,0,0,1,0
1,1,57,3249,6.802498658,17,0,0,1,0,1,0,3,1,0,0,0,1,0
1,1,36,1296,7.495645827,17,1,0,1,0,0,0,2,1,0,0,0,1,0
1,0,54,2916,6.802498658,17,0,1,1,0,1,1,4,0,0,0,0,1,0
1,0,66,4356,7.02564222,17,0,0,1,0,0,0,5,1,0,0,0,1,0
0,0,48,2304,6.445823766,12,0,0,0,0,0,0,2,0,0,0,1,0,0
0,1,68,4624,6.109351466,12,1,0,0,0,0,0,1,1,0,0,0,1,0
1,0,65,4225,6.802498658,15,0,0,1,0,0,0,3,0,0,0,0,1,0
1,1,70,4900,7.207963792,12,1,0,1,0,0,0,5,1,0,0,0,1,0
1,0,85,7225,6.802498658,6,0,0,1,0,0,0,4,0,0,0,1,0,0
1,1,48,2304,6.003990963,12,1,0,1,0,0,0,1,1,0,0,0,1,0
1,1,38,1444,5.598525842,17,1,1,1,0,0,1,2,0,0,0,1,0,0
1,0,61,3721,6.514816582,17,1,1,1,0,0,0,2,0,0,0,0,1,0
1,1,65,4225,6.697138156,12,1,0,1,0,0,0,2,1,0,0,0,1,0
1,0,45,2025,6.003990963,15,0,1,1,0,0,0,1,1,0,0,0,1,0
0,0,25,625,5.416204308,12,0,0,1,0,1,0,1,1,0,0,1,0,0
0,0,66,4356,5.886207943,6,0,0,1,0,0,0,2,1,0,0,1,0,0
0,1,45,2025,5.886207943,12,0,0,0,0,1,1,3,0,0,0,0,1,0
0,0,41,1681,6.579355137,15,0,0,1,0,1,2,3,1,0,0,0,1,0
0,1,60,3600,6.802498658,6,0,0,1,0,0,0,4,1,0,0,0,1,0
0,1,68,4624,7.207963792,12,0,0,0,0,0,0,2,1,0,0,0,1,0
0,1,75,5625,6.514816582,6,1,0,0,1,0,0,3,1,0,0,0,1,0
1,0,26,676,6.003990963,12,0,1,1,0,0,0,2,0,0,0,0,1,0
0,1,71,5041,5.416204308,12,0,0,1,0,0,0,2,1,0,0,1,0,0
1,1,70,4900,7.207963792,12,0,0,1,0,0,0,3,0,0,0,1,0,0
1,0,86,7396,6.802498658,12,0,0,1,0,1,0,3,1,0,0,0,1,0
1,0,43,1849,6.897808887,17,0,1,1,1,1,2,5,0,0,0,0,1,0
1,0,65,4225,6.514816582,17,0,0,1,0,0,0,3,1,0,0,0,1,0
0,0,70,4900,6.697138156,15,0,0,0,0,0,0,2,0,0,0,0,1,0
1,0,44,1936,6.514816582,12,0,1,1,0,1,2,4,0,0,0,0,1,0
1,1,71,5041,6.514816582,15,0,0,1,0,1,0,4,1,0,1,0,0,0
0,0,70,4900,6.697138156,15,0,0,0,0,0,0,3,0,0,0,1,0,0
0,0,59,3481,7.02564222,12,1,0,0,0,0,0,4,1,0,1,0,0,0
0,0,76,5776,6.003990963,6,1,0,1,0,0,0,2,0,0,0,0,1,0
0,0,54,2916,7.207963792,12,0,1,1,0,0,0,3,0,0,0,0,1,0
1,1,79,6241,6.802498658,0,0,0,1,0,0,0,4,1,0,0,0,1,0
0,1,43,1849,5.886207943,17,1,1,0,0,0,0,1,1,0,0,0,1,0
0,0,67,4489,7.207963792,17,1,0,1,0,0,0,3,0,0,1,0,0,0
0,0,51,2601,5.886207943,20,0,1,1,0,0,0,2,1,0,0,1,0,0
1,1,57,3249,5.886207943,12,1,0,1,0,1,0,2,1,0,1,0,0,0
1,0,76,5776,5.752676602,6,0,0,1,0,1,0,2,1,0,1,0,0,0
0,1,75,5625,5.416204308,6,0,0,1,0,0,0,4,1,0,1,0,0,0
1,0,51,2601,5.598525842,6,0,1,1,0,1,0,4,0,0,1,0,0,0
0,0,40,1600,5.752676602,6,0,1,0,0,0,0,4,0,1,0,0,0,0
0,0,73,5329,6.802498658,17,0,0,0,0,0,0,2,0,0,0,1,0,0
0,1,61,3721,6.514816582,12,1,0,1,0,0,0,5,1,0,0,0,1,0
0,0,60,3600,6.109351466,6,0,0,1,0,1,0,4,0,0,1,0,0,0
0,1,65,4225,5.598525842,0,0,0,0,0,0,0,2,1,0,1,0,0,0
0,0,89,7921,5.752676602,6,0,0,1,0,1,1,5,0,0,1,0,0,0
0,0,63,3969,5.752676602,6,0,0,1,0,1,2,6,0,0,1,0,0,0
1,0,31,961,6.109351466,15,0,1,1,0,1,1,3,0,0,1,0,0,0
0,1,80,6400,5.752676602,6,0,0,0,0,0,0,2,1,0,1,0,0,0
1,1,45,2025,6.109351466,15,0,1,1,0,1,1,5,0,0,1,0,0,0
0,1,52,2704,5.416204308,0,1,1,1,0,1,2,5,1,1,0,0,0,0
0,0,46,2116,5.598525842,6,1,1,1,0,1,1,3,0,1,0,0,0,0
0,1,51,2601,3.806766418,6,1,1,1,1,1,1,4,1,0,0,1,0,0
0,1,42,1764,5.598525842,6,0,1,1,0,1,2,4,1,0,1,0,0,0
0,1,85,7225,5.059529389,0,0,0,0,0,0,0,2,1,1,0,0,0,0
0,1,65,4225,4.905378625,6,1,0,1,0,0,0,3,1,1,0,0,0,0
0,0,36,1296,6.109351466,12,0,1,1,0,1,4,6,0,1,0,0,0,0
0,0,51,2601,5.598525842,0,0,0,1,1,1,2,9,0,1,0,0,0,0
1,1,56,3136,5.416204308,12,0,0,1,0,1,1,4,1,1,0,0,0,0
1,0,53,2809,5.752676602,12,1,1,1,1,1,0,5,0,1,0,0,0,0
1,0,47,2209,6.802498658,17,0,1,1,0,1,2,7,0,0,1,0,0,0
0,0,42,1764,5.886207943,12,0,1,0,0,1,2,4,0,0,1,0,0,0
1,1,50,2500,6.109351466,0,1,0,1,0,0,0,2,1,0,1,0,0,0
1,0,61,3721,6.802498658,17,1,1,1,1,1,2,4,0,0,1,0,0,0
1,0,40,1600,6.204661697,17,0,1,1,0,0,0,1,1,0,1,0,0,0
0,0,63,3969,6.109351466,17,0,0,1,0,0,0,2,0,0,0,1,0,0
1,0,64,4096,6.514816582,17,0,1,1,0,0,0,5,1,0,1,0,0,0
0,0,50,2500,5.598525842,12,0,1,0,0,0,0,4,0,0,1,0,0,0
0,1,58,3364,7.02564222,20,0,0,1,0,0,0,2,1,0,0,0,1,0
0,0,34,1156,6.371715756,15,0,1,1,0,0,1,3,0,0,0,1,0,0
0,1,78,6084,6.109351466,0,0,0,0,0,1,0,5,0,0,0,1,0,0
1,0,53,2809,5.886207943,17,0,1,1,0,1,2,5,0,0,0,0,1,0
1,0,53,2809,6.802498658,6,1,1,1,0,1,1,5,0,0,0,0,1,0
0,0,76,5776,6.802498658,0,1,0,0,1,1,0,3,0,0,0,0,1,0
0,0,29,841,7.207963792,12,1,1,1,1,1,1,3,0,0,0,0,1,0
1,0,43,1849,6.51147776,17,0,1,1,0,1,1,4,0,0,1,0,0,0
1,0,38,1444,6.291673005,6,0,1,1,0,1,2,4,0,0,0,1,0,0
1,0,50,2500,6.514816582,17,0,1,1,0,1,2,5,0,0,0,0,1,0
1,0,34,1156,7.02564222,20,0,1,1,0,1,2,4,0,0,0,0,1,0
0,1,40,1600,6.514816582,15,0,1,1,0,1,2,3,1,0,0,1,0,0
0,0,44,1936,5.886207943,12,0,1,1,0,1,2,4,0,0,0,1,0,0
0,0,54,2916,6.291673005,17,0,1,0,0,1,1,5,0,0,0,1,0,0
0,0,64,4096,6.109351466,0,1,0,0,0,1,2,7,1,0,0,1,0,0
1,0,45,2025,5.416204308,0,0,1,0,0,0,1,4,0,0,1,0,0,0
0,0,42,1764,5.752676602,6,0,1,0,0,0,0,3,1,0,1,0,0,0
0,1,62,3844,5.087700219,0,0,0,1,0,1,4,8,1,0,1,0,0,0
0,1,80,6400,4.905378625,12,0,0,0,0,0,0,2,0,0,1,0,0,0
1,0,44,1936,6.003990963,12,1,1,1,0,1,1,5,0,0,1,0,0,0
1,0,60,3600,6.371715756,12,1,1,1,0,1,1,4,0,0,0,1,0,0
0,1,32,1024,6.802498658,12,0,0,1,0,1,3,5,1,0,0,1,0,0
0,1,68,4624,6.514816582,12,0,0,0,0,0,0,4,0,0,1,0,0,0
0,0,70,4900,5.416204308,6,1,0,1,0,0,0,2,0,1,0,0,0,0
0,0,41,1681,5.310843782,12,0,1,0,0,1,3,5,0,1,0,0,0,0
1,0,47,2209,5.678568593,12,0,1,1,1,1,0,4,0,1,0,0,0,0
1,0,55,3025,6.371715756,17,0,1,0,0,1,0,3,0,0,1,0,0,0
0,0,59,3481,6.109351466,6,0,0,0,0,0,0,4,0,0,1,0,0,0
1,0,30,900,5.752676602,15,0,1,1,0,1,0,3,0,0,1,0,0,0
0,0,24,576,5.310843782,0,0,1,0,0,0,1,3,0,1,0,0,0,0
0,1,66,4356,5.752676602,6,0,0,1,0,1,0,6,0,0,1,0,0,0
0,1,61,3721,5.598525842,6,0,0,1,0,0,0,2,1,0,1,0,0,0
0,0,43,1849,5.886207943,12,0,1,1,0,1,2,5,0,0,1,0,0,0
0,0,33,1089,5.416204308,12,0,1,1,0,1,1,6,0,0,1,0,0,0
0,1,55,3025,6.514816582,12,0,1,1,1,1,0,6,1,0,0,0,1,0
0,0,52,2704,6.802498658,17,0,1,1,0,1,0,4,0,0,0,0,1,0
0,1,40,1600,4.499913598,12,0,1,1,0,0,0,1,1,1,0,0,0,0
1,0,31,961,6.802498658,17,1,1,1,0,0,0,2,0,0,0,0,1,0
0,0,70,4900,6.109351466,0,0,0,1,0,0,0,3,0,0,0,1,0,0
1,0,70,4900,6.371715756,12,0,0,1,0,0,0,4,0,0,0,0,1,0
0,0,76,5776,6.003990963,6,1,1,0,0,0,0,2,0,0,0,1,0,0
0,1,62,3844,6.109351466,12,0,0,1,0,0,0,2,1,0,0,1,0,0
1,0,35,1225,6.109351466,17,0,1,1,0,0,0,1,1,0,0,1,0,0
0,0,32,1024,7.362114482,15,1,1,1,0,1,2,4,0,0,0,1,0,0
1,0,52,2704,6.445823766,12,0,1,1,0,1,0,4,0,0,0,1,0,0
0,0,57,3249,6.514816582,12,0,0,1,0,1,0,5,0,0,0,1,0,0
1,0,43,1849,5.752676602,12,0,1,1,0,1,2,4,0,0,1,0,0,0
1,0,30,900,6.109351466,17,1,1,1,0,0,0,4,1,0,0,1,0,0
0,1,45,2025,6.109351466,12,1,1,1,0,1,1,3,1,0,1,0,0,0
0,0,50,2500,6.109351466,15,0,1,0,0,1,0,4,0,0,1,0,0,0
0,1,34,1156,5.752676602,12,0,0,1,0,1,3,6,0,0,1,0,0,0
0,0,45,2025,6.109351466,6,0,1,1,0,1,2,6,0,0,1,0,0,0
0,0,47,2209,4.905378625,6,0,1,0,0,1,1,3,0,0,1,0,0,0
1,1,51,2601,5.886207943,12,0,1,1,0,1,1,2,1,0,0,1,0,0
0,1,49,2401,5.059529389,12,0,1,0,0,1,1,2,1,0,0,1,0,0
1,0,60,3600,6.697138156,12,0,1,1,0,1,0,3,0,0,0,1,0,0
0,0,18,324,4.499913598,17,0,0,0,0,1,0,1,1,0,0,1,0,0
0,0,69,4761,5.886207943,12,0,0,1,0,0,0,2,0,0,0,1,0,0
0,1,63,3969,4.905378625,0,1,0,0,1,1,1,5,1,0,1,0,0,0
1,0,32,1024,6.291673005,17,0,1,1,0,1,0,2,0,0,0,0,1,0
1,0,50,2500,6.291673005,12,0,1,1,0,1,2,4,0,0,1,0,0,0
0,0,40,1600,6.291673005,15,0,1,1,0,0,0,2,0,0,1,0,0,0
1,0,54,2916,6.109351466,12,1,1,1,0,0,1,3,0,0,1,0,0,0
1,1,46,2116,5.886207943,17,0,1,1,0,1,0,3,1,0,0,1,0,0
0,0,40,1600,5.598525842,12,0,1,1,0,1,1,3,0,0,0,0,1,0
0,0,58,3364,5.598525842,12,0,1,1,0,0,0,2,0,0,0,0,1,0
0,1,41,1681,5.19306079,6,0,1,0,0,1,6,9,1,1,0,0,0,0
0,0,40,1600,4.723057127,12,0,1,0,0,1,1,4,0,1,0,0,0,0
0,0,43,1849,4.499913598,6,0,1,1,0,1,0,6,0,0,0,0,0,0
0,0,55,3025,5.416204308,6,0,1,0,0,0,0,2,0,1,0,0,0,0
1,0,87,7569,5.886207943,0,0,0,0,1,1,0,4,1,0,0,1,0,0
0,0,26,676,4.905378625,6,1,1,0,0,1,4,6,0,0,0,0,0,0
0,0,59,3481,5.752676602,12,0,0,0,0,1,1,4,0,1,0,0,0,0
0,1,49,2401,5.19306079,6,1,0,0,0,0,2,6,1,0,0,0,0,0
1,0,44,1936,5.821669386,12,1,1,1,0,1,1,4,0,0,1,0,0,0
0,0,52,2704,5.886207943,12,1,1,1,0,1,2,4,0,0,1,0,0,0
0,0,63,3969,7.02564222,6,0,0,1,0,1,1,6,0,0,1,0,0,0
0,0,62,3844,6.003990963,0,0,0,1,0,0,2,5,0,0,1,0,0,0
0,1,48,2304,6.514816582,12,0,0,1,0,1,0,4,1,0,1,0,0,0
0,1,46,2116,5.416204308,6,0,1,0,0,1,1,2,1,1,0,0,0,0
0,1,42,1764,4.905378625,15,0,1,1,0,0,0,1,1,1,0,0,0,0
0,1,56,3136,5.416204308,0,0,0,1,0,1,4,7,1,1,0,0,0,0
0,0,73,5329,5.19306079,6,0,0,1,0,0,1,5,0,1,0,0,0,0
0,1,67,4489,5.821669386,12,0,0,0,0,0,0,2,1,0,0,1,0,0
0,0,39,1521,5.598525842,12,0,1,1,0,1,3,6,0,0,0,0,0,0
1,0,46,2116,6.514816582,12,0,1,1,0,1,3,5,0,1,0,0,0,0
0,0,27,729,4.83638579,15,0,1,1,0,0,0,2,0,0,0,0,0,0
0,0,76,5776,6.003990963,0,0,0,1,1,1,2,5,0,0,0,0,0,0
0,0,32,1024,4.499913598,0,0,1,1,0,1,1,3,0,0,0,0,0,0
0,1,29,841,4.723057127,0,0,1,1,0,1,2,3,1,0,0,0,0,0
0,0,80,6400,4.499913598,6,0,0,0,0,0,0,2,1,0,0,0,0,0
0,0,42,1764,5.511514536,6,0,1,1,0,1,3,6,0,1,0,0,0,0
0,0,27,729,4.762277861,6,1,1,0,0,1,1,3,0,1,0,0,0,0
0,0,40,1600,5.19306079,6,0,1,1,1,1,3,5,0,0,0,0,0,0
0,0,50,2500,5.19306079,6,1,1,1,0,0,0,2,0,0,0,0,0,0
0,1,68,4624,5.310843782,0,1,0,1,0,1,0,3,1,0,0,0,0,0
0,0,59,3481,4.212231459,6,0,0,0,0,0,0,2,0,0,0,0,0,0
0,0,43,1849,5.19306079,6,0,1,1,0,1,2,4,0,1,0,0,0,0
0,1,53,2809,4.394553038,6,0,1,1,0,0,0,2,1,1,0,0,0,0
0,1,49,2401,5.598525842,12,1,1,1,0,0,0,2,1,0,1,0,0,0
0,1,23,529,5.598525842,6,1,0,1,0,1,1,2,1,0,1,0,0,0
0,0,41,1681,6.291673005,15,0,1,1,0,1,4,6,0,0,1,0,0,0
0,1,55,3025,6.514816582,6,0,1,1,0,1,2,6,0,0,1,0,0,0
1,0,48,2304,6.579355137,17,0,1,1,0,0,0,4,0,0,0,1,0,0
0,0,37,1369,5.19306079,12,0,1,0,0,1,1,3,0,1,0,0,0,0
0,0,33,1089,5.678568593,12,0,1,1,0,1,1,3,0,0,1,0,0,0
0,0,39,1521,5.310843782,6,0,1,1,0,1,2,4,0,1,0,0,0,0
0,1,76,5776,5.511514536,0,0,0,0,0,1,2,4,0,1,0,0,0,0
0,0,70,4900,5.19306079,0,0,0,0,0,0,0,3,0,0,1,0,0,0
0,0,74,5476,5.416204308,6,0,0,1,0,0,0,3,0,1,0,0,0,0
1,0,39,1521,5.212863394,0,0,1,0,0,1,2,4,0,1,0,0,0,0
0,1,52,2704,5.598525842,6,0,1,0,1,0,0,2,1,0,1,0,0,0
0,0,41,1681,6.109351466,12,0,1,1,1,1,3,5,0,0,1,0,0,0
0,1,57,3249,4.905378625,0,1,1,0,0,1,1,2,1,0,0,0,0,0
1,0,59,3481,5.416204308,6,1,1,0,0,1,1,3,0,0,1,0,0,0
0,0,27,729,5.310843782,12,0,1,0,0,1,1,3,0,1,0,0,0,0
0,0,74,5476,5.752676602,6,1,0,1,0,1,1,4,1,0,1,0,0,0
0,0,77,5929,4.499913598,0,0,0,0,0,0,0,2,0,1,0,0,0,0
0,0,40,1600,5.886207943,6,0,1,1,0,1,3,6,0,1,0,0,0,0
0,0,52,2704,4.905378625,12,1,1,0,0,0,0,1,1,0,1,0,0,0
0,0,31,961,6.109351466,12,0,1,0,0,0,1,3,0,0,0,1,0,0
0,1,26,676,6.802498658,15,1,0,1,0,1,1,3,0,0,0,1,0,0
0,0,51,2601,6.109351466,6,0,1,0,0,1,3,7,0,0,1,0,0,0
0,0,35,1225,6.204661697,12,0,1,1,0,1,2,5,0,0,1,0,0,0
0,1,51,2601,5.598525842,6,0,1,0,0,1,2,11,1,1,0,0,0,0
0,0,36,1296,5.598525842,12,0,1,1,0,1,3,6,0,0,1,0,0,0
1,0,59,3481,6.109351466,6,0,0,1,0,1,2,9,0,0,1,0,0,0
0,0,61,3721,5.886207943,20,0,0,1,0,0,0,4,0,0,1,0,0,0
1,0,43,1849,6.802498658,12,0,1,1,0,1,3,7,0,0,0,0,0,1
1,0,37,1369,6.514816582,12,0,1,1,0,1,3,5,0,0,0,1,0,0
0,0,67,4489,4.276770058,0,0,1,0,0,0,0,2,0,0,1,0,0,0
0,0,45,2025,5.886207943,12,0,1,1,1,1,2,4,0,0,1,0,0,0
0,1,48,2304,5.19306079,12,0,0,0,0,1,2,3,1,0,1,0,0,0
0,0,44,1936,5.886207943,6,0,1,1,0,1,1,5,0,0,1,0,0,0
0,1,64,4096,5.598525842,6,0,1,0,0,0,0,1,1,0,0,0,0,0
0,1,76,5776,5.886207943,12,0,0,1,0,0,0,2,1,0,0,0,0,0
0,0,48,2304,5.886207943,12,0,1,1,0,1,2,6,0,0,1,0,0,0
0,1,37,1369,4.905378625,12,1,1,1,0,1,1,3,1,0,1,0,0,0
0,0,28,784,6.109351466,12,1,1,1,0,0,1,4,1,0,0,0,1,0
1,0,38,1444,6.802498658,12,1,1,1,0,0,1,3,0,0,0,0,1,0
0,0,28,784,4.499913598,12,0,1,0,0,0,2,4,0,0,1,0,0,0
1,0,48,2304,5.598525842,6,0,1,0,0,1,1,5,0,0,1,0,0,0
0,1,59,3481,4.905378625,6,0,0,1,0,0,0,1,1,0,1,0,0,0
0,1,47,2209,4.212231459,0,1,1,1,0,1,0,4,1,0,1,0,0,0
1,1,30,900,6.445823766,17,1,1,1,0,1,1,3,0,0,1,0,0,0
0,1,65,4225,5.19306079,12,0,0,1,0,0,0,2,1,0,1,0,0,0
0,1,42,1764,5.059529389,17,0,1,0,0,1,2,4,0,0,1,0,0,0
0,0,67,4489,5.752676602,12,0,1,1,0,0,0,2,0,0,1,0,0,0
0,1,71,5041,5.19306079,6,1,0,1,0,0,0,2,0,0,1,0,0,0
0,0,81,6561,4.905378625,6,0,0,1,0,0,0,2,0,0,1,0,0,0
0,1,43,1849,5.416204308,12,0,1,1,0,1,1,2,1,0,1,0,0,0
0,0,40,1600,5.416204308,12,0,1,1,0,1,2,4,0,0,1,0,0,0
0,0,56,3136,5.598525842,6,0,0,1,0,0,0,3,0,1,0,0,0,0
0,1,81,6561,5.416204308,0,0,0,0,0,0,0,3,1,0,1,0,0,0
0,0,29,841,4.499913598,6,0,1,0,0,1,2,4,0,0,0,0,0,0
0,1,56,3136,5.19306079,0,0,1,0,0,1,2,3,1,1,0,0,0,0
0,1,30,900,5.059529389,12,0,1,0,0,1,2,3,1,0,0,0,0,0
0,1,27,729,4.723057127,12,0,0,0,0,0,1,4,1,1,0,0,0,0
0,1,27,729,5.059529389,6,0,1,0,0,1,1,2,1,1,0,0,0,0
0,1,52,2704,4.905378625,6,0,1,0,1,0,1,2,1,1,0,0,0,0
0,0,85,7225,4.905378625,6,0,0,0,0,0,0,2,0,1,0,0,0,0
