Ln market value ,Performance,Age,Age square,National team participation,Goals,Goals square,Experience,Experience square,Assists,Concacaf,Conmebol,Afc,Uefa,Premier league ,Serie A,Liga 1,Coach,Matches,Height,Substitute ,Ln Attention public ,Under-21 but not senior,Appearances UEFA Champions,Recognition under-21,Team experience ,Change of team
15.8949521,35,24,576,1,80,6400,10.00821918,100.1644511,7,0,0,0,1,0,0,0,17,58,1.85,2,13.0939639,0,0,1,2,0
14.50865774,23,31,961,0,1,1,12.00821918,144.1973278,0,0,0,0,1,0,0,0,38,215,1.85,9,16.9977224,0,0,1,4,0
15.42494847,27,21,441,1,7,49,3.002739726,9.016445862,1,0,0,0,1,0,0,0,38,59,1.78,6,12.1281111,0,0,1,1,0
14.91412285,29,25,625,0,11,121,9.005479452,81.09866016,3,0,0,0,1,0,0,0,38,65,1.72,0,10.38282251,0,0,0,1,0
14.91412285,0,30,900,1,57,3249,23.01643836,529.7564346,0,0,0,0,0,0,0,0,8,28,1.86,0,13.66701055,0,0,1,5,0
15.68731273,0,27,729,0,13,169,8.005479452,64.08770126,0,0,0,0,0,0,0,0,15,73,1.86,0,17.18624873,0,0,0,4,0
15.20180492,27,24,576,1,9,81,6.753424658,45.6087446,2,1,0,0,0,0,0,0,15,61,1.89,7,17.29057779,0,0,0,1,0
14.73180129,31,31,961,0,2,4,12.00821918,144.1973278,0,0,0,0,1,0,0,0,15,197,1.8,5,15.12923423,0,0,0,5,0
15.60727003,21,28,784,1,69,4761,10.75616438,115.6950722,0,0,1,0,0,0,0,0,15,241,1.63,7,12.96453929,0,0,0,5,0
14.91412285,31,28,784,1,81,6561,13.50684932,182.4349784,8,0,1,0,0,0,0,0,15,138,1.83,1,12.85055465,0,0,0,2,0
13.81551056,29,34,1156,1,0,0,16.50684932,272.4760743,0,0,1,0,0,0,0,0,38,94,1.85,0,12.20607265,0,0,0,5,0
15.06827353,29,28,784,0,9,81,10.00821918,100.1644511,2,0,0,0,1,0,0,0,38,73,1.92,7,11.26830288,0,0,0,2,0
13.81551056,0,20,400,1,6,36,1.808219178,3.269656596,0,0,1,0,0,0,0,0,38,18,1.73,0,12.85055465,0,0,0,0,0
14.91412285,16,24,576,0,6,36,5.920547945,35.05288797,0,0,0,0,1,0,0,0,19,39,1.89,2,12.73080117,0,0,1,2,0
14.50865774,20,20,400,0,14,196,5.002739726,25.02740477,0,0,0,0,1,0,0,0,19,34,1.72,12,13.23390475,1,0,1,2,0
13.12236338,0,23,529,0,0,0,7.005479452,49.07674235,0,0,0,0,1,0,0,0,0,2,1.87,0,11.56171563,0,0,0,1,0
14.50865774,28,27,729,1,6,36,10.00821918,100.1644511,1,0,0,0,0,0,0,0,0,55,1.92,5,11.90496755,0,0,0,3,0
14.22097567,0,29,841,1,110,12100,14.0109589,196.3069694,0,0,1,0,0,0,0,0,0,22,1.84,0,17.43181932,0,0,0,0,0
12.61153775,0,29,841,0,12,144,8.005479452,64.08770126,0,0,1,0,0,0,0,0,0,12,1.84,0,12.95276059,0,0,0,1,0
13.81551056,0,29,841,0,0,0,5.002739726,25.02740477,0,0,1,0,0,0,0,0,25,0,1.84,0,17.04631495,0,0,1,0,0
14.50865774,15,22,484,0,3,9,8.005479452,64.08770126,0,0,0,0,1,0,0,0,25,50,1.84,13,11.86358234,0,0,1,2,0
13.99783211,0,23,529,1,11,121,7.501369863,56.27054982,0,0,0,0,1,0,0,0,25,17,1.88,0,11.39188714,0,0,1,0,0
14.50865774,24,26,676,1,1,1,11.00821918,121.1808895,0,0,0,0,1,0,0,0,25,50,1.89,9,12.07254125,0,0,1,3,0
14.22097567,6,21,441,1,3,9,6.005479452,36.06578345,0,0,0,0,0,0,0,0,25,38,1.85,4,11.88448902,0,0,0,0,1
14.50865774,0,29,841,1,28,784,13.00821918,169.2137662,0,0,0,0,1,0,0,0,25,2,1.82,0,12.03765399,0,0,1,5,1
14.91412285,0,27,729,1,47,2209,12.00821918,144.1973278,0,0,0,0,1,0,0,0,25,26,1.89,0,11.8913619,0,0,1,1,1
13.81551056,9,28,784,0,0,0,8.005479452,64.08770126,0,0,0,0,1,0,0,0,38,71,1.85,24,13.01700286,0,0,0,4,1
14.73180129,34,24,576,0,6,36,4.252054795,18.07996998,3,0,1,0,0,0,0,0,38,64,1.82,0,13.0689626,0,0,0,1,0
14.73180129,34,26,676,0,32,1024,8.005479452,64.08770126,3,0,0,0,1,0,0,0,38,72,1.9,2,13.40754232,0,0,1,0,0
14.50865774,0,32,1024,1,7,49,14.0109589,196.3069694,0,0,1,0,0,0,0,0,38,222,1.91,0,12.92391244,0,0,0,2,1
13.59236701,0,28,784,0,1,1,8.005479452,64.08770126,0,0,1,0,0,0,0,0,0,16,1.91,0,17.36225024,0,0,0,3,0
14.22097567,0,27,729,0,20,400,9.005479452,81.09866016,0,0,1,0,0,0,0,0,0,65,1.91,0,17.77059305,0,0,0,2,1
14.22097567,0,21,441,0,8,64,6.005479452,36.06578345,0,0,1,0,0,0,0,0,0,42,1.91,0,13.01477817,0,0,1,1,0
15.76142071,0,30,900,1,0,0,14.0109589,196.3069694,0,0,1,0,0,0,0,0,0,20,1.91,0,12.91164235,0,0,1,5,0
13.12236338,0,32,1024,0,13,169,15.0109589,225.3288872,0,0,1,0,0,0,0,0,0,238,1.91,0,11.70354582,0,0,0,0,0
13.81551056,8,30,900,0,11,121,13.00821918,169.2137662,0,0,0,0,1,0,0,0,0,11,1.83,8,11.66134547,0,0,1,5,0
14.91412285,0,28,784,0,59,3481,8.005479452,64.08770126,0,0,0,0,1,0,0,0,0,34,1.78,0,16.46875252,0,0,0,0,0
13.81551056,0,19,361,0,4,16,3.002739726,9.016445862,0,0,0,0,1,1,0,0,38,4,1.73,2,12.97386337,0,1,0,1,1
14.22097567,0,23,529,0,10,100,7.005479452,49.07674235,0,0,0,0,1,1,0,0,16,0,1.8,0,15.99592802,0,1,1,0,0
17.37085862,37,29,841,1,118,13924,13.81369863,190.8182698,5,0,0,0,1,1,0,0,16,313,1.79,0,13.17115354,0,1,1,5,0
15.76142071,4,28,784,1,0,0,11.50410959,132.3445374,0,0,1,0,0,1,0,0,38,24,1.83,30,12.97154049,0,1,0,5,0
13.81551056,0,24,576,0,0,0,7.005479452,49.07674235,0,0,1,0,0,1,0,0,38,6,1.93,0,15.39448926,0,1,0,0,0
17.21670794,0,24,576,1,14,196,10.00821918,100.1644511,0,0,1,0,0,1,0,0,38,27,1.93,0,14.15910026,0,1,1,5,0
16.90655301,33,31,961,1,32,1024,14.0109589,196.3069694,4,0,0,0,1,1,0,0,38,213,1.86,1,15.38204097,0,1,0,5,0
15.95557672,11,24,576,1,14,196,9.005479452,81.09866016,0,0,0,0,0,1,0,0,38,26,1.8,4,13.14997854,0,1,0,1,1
16.11809565,13,20,400,1,22,484,5.002739726,25.02740477,2,0,0,0,0,1,0,0,38,40,1.8,8,13.24811458,0,1,0,1,1
16.90655301,28,28,784,1,109,11881,12.00821918,144.1973278,5,0,0,0,1,1,0,0,38,266,1.76,5,13.43131759,0,1,1,5,0
16.6487239,0,28,784,0,59,3481,8.005479452,64.08770126,0,0,0,0,1,1,0,0,38,11,1.8,0,16.5755205,0,1,0,2,0
17.50439001,34,26,676,1,0,0,10.00821918,100.1644511,0,0,0,0,1,1,0,0,38,202,1.89,0,13.383188,0,0,1,5,0
13.81551056,8,19,361,0,1,1,11.00821918,121.1808895,0,0,0,0,1,1,0,0,38,14,1.85,2,12.94323671,0,0,1,1,1
16.11809565,11,19,361,1,24,576,3.002739726,9.016445862,5,0,0,0,1,1,0,0,38,45,1.8,2,13.50762578,0,0,1,1,1
17.03438638,29,30,900,1,40,1600,12.00821918,144.1973278,0,0,0,0,1,1,0,0,38,153,1.89,0,15.27179729,0,0,1,3,0
17.0736071,34,25,625,1,44,1936,7.005479452,49.07674235,5,0,1,0,0,1,0,0,38,85,1.83,2,10.5789798,0,0,0,5,0
14.50865774,8,19,361,0,22,484,5.64109589,31.82196284,0,0,0,0,1,1,0,0,8,8,1.86,0,12.29225034,0,0,1,1,1
13.12236338,0,17,289,1,9,81,2.002739726,4.01096641,0,0,0,0,1,1,0,0,8,5,1.74,0,13.19002203,0,0,0,0,0
17.45309672,37,25,625,1,86,7396,6.005479452,36.06578345,11,0,0,0,0,1,0,0,8,96,1.75,1,13.05408454,0,0,0,3,0
17.37085862,31,25,625,1,81,6561,7.501369863,56.27054982,10,0,1,0,0,1,0,0,8,68,1.81,0,13.47583319,0,0,0,5,0
16.30041721,28,26,676,1,13,169,6.005479452,36.06578345,4,0,1,0,0,1,0,0,37,51,1.86,3,13.00357984,0,0,0,1,0
14.91412285,15,21,441,0,4,16,4.002739726,16.02192531,0,0,0,0,1,1,0,0,37,20,1.86,6,12.94800999,0,0,1,1,1
15.60727003,25,30,900,1,40,1600,14.0109589,196.3069694,5,0,0,0,1,1,0,0,37,327,1.65,7,13.25689427,0,0,1,5,0
13.81551056,0,22,484,0,0,0,4.002739726,16.02192531,0,0,0,0,1,1,0,0,38,0,1.84,0,11.15338929,0,0,1,4,0
14.91412285,0,28,784,1,4,16,11.00821918,121.1808895,0,0,0,0,1,1,0,0,38,11,1.84,0,11.84222921,0,0,1,1,0
15.8949521,0,22,484,1,14,196,8.005479452,64.08770126,0,0,0,0,1,1,0,0,38,22,1.84,0,11.1519556,0,0,1,3,1
16.52356076,0,23,529,1,21,441,5.002739726,25.02740477,0,0,0,0,1,1,0,0,38,25,1.84,0,12.7512997,0,0,0,4,0
13.12236338,0,20,400,0,11,121,5.002739726,25.02740477,0,0,0,0,1,1,0,0,38,7,1.84,0,14.21428668,0,0,0,0,0
16.38045992,7,28,784,1,139,19321,9.005479452,81.09866016,1,0,0,0,1,1,0,0,38,59,1.88,3,17.22003573,0,0,0,3,1
14.50865774,19,33,1089,1,16,256,16.0109589,256.350805,0,0,0,0,1,1,0,0,38,266,1.88,10,18.6438243,0,0,1,4,0
16.30041721,37,27,729,1,17,289,9.005479452,81.09866016,2,0,0,0,1,1,0,0,38,103,1.7,0,12.86876062,0,0,0,2,0
15.76142071,37,29,841,0,48,2304,12.50410959,156.3527566,7,0,0,0,1,1,0,0,38,292,1.8,0,17.88453731,0,0,1,5,0
15.8949521,0,22,484,1,40,1600,4.002739726,16.02192531,0,0,0,0,1,1,0,0,38,16,1.84,0,13.12036137,0,0,0,0,0
16.52356076,36,30,900,1,102,10404,14.0109589,196.3069694,24,0,0,0,1,1,0,0,38,107,1.78,0,13.05408454,0,0,0,4,0
15.8949521,0,26,676,1,27,729,9.005479452,81.09866016,0,0,0,0,1,1,0,0,38,16,1.84,0,12.18586994,0,0,1,0,0
16.30041721,34,24,576,1,35,1225,7.005479452,49.07674235,2,0,0,0,0,1,0,0,38,115,1.8,0,13.12036137,0,0,1,4,0
16.52356076,31,23,529,1,66,4356,6.005479452,36.06578345,4,0,0,0,1,1,0,0,38,120,1.79,4,12.92391244,0,0,1,3,1
13.81551056,0,26,676,1,0,0,9.005479452,81.09866016,0,0,0,0,1,1,0,0,15,0,1.84,0,10.77058804,0,0,0,0,0
15.42494847,27,28,784,0,9,81,10.00821918,100.1644511,0,0,0,0,1,1,0,0,15,144,1.81,10,12.92391244,0,0,1,4,0
15.42494847,35,27,729,0,12,144,11.00821918,121.1808895,1,0,0,0,1,1,0,0,15,161,1.85,3,13.22311328,0,0,1,5,0
14.73180129,28,32,1024,0,50,2500,15.0109589,225.3288872,2,0,0,0,1,1,0,0,15,284,1.7,5,13.11634531,0,0,1,5,0
15.83041358,32,27,729,1,21,441,13.00821918,169.2137662,2,0,0,0,1,1,0,0,38,97,1.85,1,12.70987365,0,0,1,2,0
14.91412285,0,26,676,1,7,49,9.005479452,81.09866016,0,0,0,0,1,1,0,0,38,0,1.84,0,11.72803684,0,0,0,3,0
16.11809565,33,28,784,1,23,529,12.00821918,144.1973278,0,0,0,0,1,1,0,0,38,95,1.89,0,11.07286891,0,0,1,4,0
15.8949521,22,27,729,1,27,729,9.005479452,81.09866016,2,0,0,0,1,1,0,0,38,162,1.75,4,12.92877863,0,0,1,4,0
15.31958795,12,30,900,1,40,1600,11.50410959,132.3445374,0,0,0,0,0,1,0,0,38,43,1.79,4,12.89169156,0,0,0,3,1
15.42494847,0,29,841,1,17,289,12.00821918,144.1973278,0,0,0,0,1,1,0,0,0,16,1.84,0,12.88664104,0,0,1,5,1
14.73180129,0,24,576,0,17,289,8.005479452,64.08770126,0,0,0,0,1,1,0,0,0,34,1.84,0,13.18063229,0,0,1,0,0
15.95557672,22,25,625,1,27,729,8.005479452,64.08770126,1,0,0,0,1,1,0,0,0,69,1.75,3,17.74733619,0,0,0,2,0
14.22097567,0,34,1156,1,56,3136,17.0109589,289.3727228,0,0,0,0,1,1,0,0,0,88,1.84,0,12.86617997,0,0,1,0,0
15.42494847,36,26,676,0,15,225,9.005479452,81.09866016,4,0,0,0,1,1,0,0,38,76,1.85,1,12.87390202,0,0,0,5,0
13.12236338,0,29,841,0,3,9,11.00821918,121.1808895,0,0,0,0,1,1,0,0,38,0,1.73,4,11.69524702,0,0,1,1,1
14.91412285,34,27,729,0,32,1024,10.41917808,108.5592719,3,0,0,0,1,1,0,0,38,107,1.8,3,12.99453001,0,0,1,5,0
15.76142071,15,28,784,1,14,196,10.00821918,100.1644511,2,0,0,0,0,1,0,0,8,45,1.89,0,12.70076889,0,0,0,0,1
13.81551056,32,34,1156,1,40,1600,17.0109589,289.3727228,2,0,0,0,1,1,0,0,8,288,1.91,6,12.85317589,0,0,1,4,1
13.81551056,28,36,1296,1,18,324,17.45753425,304.765502,0,0,0,0,1,1,0,0,8,446,1.92,6,16.21340583,0,0,1,0,0
15.60727003,26,26,676,1,56,3136,10.00821918,100.1644511,5,0,0,0,1,1,0,0,8,111,1.8,3,12.98768847,0,0,1,3,0
13.52782849,0,21,441,1,8,64,5.002739726,25.02740477,0,1,0,0,0,1,0,0,8,11,1.73,1,11.42518655,0,0,0,0,1
14.22097567,10,29,841,1,40,1600,11.00821918,121.1808895,0,0,0,0,0,1,0,0,8,204,1.9,20,12.58107855,0,0,0,5,0
12.4292162,0,19,361,0,2,4,2.750684932,7.566267592,0,0,0,0,1,1,0,0,0,0,1.81,0,12.1281111,0,0,1,0,1
14.22097567,0,29,841,0,8,64,12.00821918,144.1973278,0,0,0,0,1,1,0,0,0,25,1.81,0,15.45450727,0,0,0,0,0
15.20180492,15,34,1156,1,0,0,17.0109589,289.3727228,0,0,0,0,1,1,0,0,38,253,1.93,2,12.77987307,0,0,0,5,0
11.51292546,0,22,484,0,0,0,6.005479452,36.06578345,0,0,0,0,1,1,0,0,38,0,1.9,4,18.55170901,0,0,0,1,1
15.31958795,32,28,784,1,2,4,9.005479452,81.09866016,0,0,0,0,0,1,0,0,38,66,1.89,6,12.43320822,0,0,0,1,0
15.42494847,18,31,961,1,46,2116,13.00821918,169.2137662,3,0,0,0,1,1,0,0,38,307,1.83,1,12.81311713,0,0,0,5,0
13.81551056,0,32,1024,1,18,324,14.0109589,196.3069694,0,0,0,0,1,1,0,0,0,142,1.81,0,17.81371126,0,0,1,3,0
15.20180492,32,27,729,0,20,400,9.005479452,81.09866016,2,0,0,0,1,1,0,0,0,133,1.74,3,12.68849879,0,0,0,0,0
16.21340583,26,33,1089,1,22,484,22.01643836,484.7235579,1,0,0,0,1,0,0,0,34,385,1.7,4,12.88664104,0,0,1,5,0
12.4292162,0,19,361,0,11,121,4.002739726,16.02192531,0,0,0,0,1,0,0,0,34,0,1.81,0,12.44508955,0,0,0,0,1
18.19753719,32,29,841,1,279,77841,12.00821918,144.1973278,30,0,0,0,1,0,0,0,34,228,1.84,1,16.56278147,0,0,1,5,0
17.14771507,25,29,841,1,12,144,12.00821918,144.1973278,1,0,0,0,1,0,0,0,34,160,1.86,3,14.28551419,0,0,1,5,0
13.81551056,6,30,900,1,6,36,9.504109589,90.32809908,0,0,0,1,0,0,0,0,34,51,1.76,11,13.1402033,0,0,0,3,1
14.91412285,3,19,361,0,43,1849,7.005479452,49.07674235,0,0,0,0,1,0,0,0,34,14,1.7,1,12.05524976,0,0,0,0,1
17.50439001,26,28,784,1,160,25600,22.01643836,484.7235579,12,0,0,0,1,0,0,0,34,222,1.8,2,16.79612919,0,0,1,5,0
17.98989783,31,28,784,1,180,32400,12.00821918,144.1973278,25,0,0,0,0,0,0,0,34,129,1.87,0,14.53821654,0,0,1,5,0
16.81124283,29,21,441,1,56,3136,8.005479452,64.08770126,9,0,0,0,1,0,0,0,31,99,1.83,3,12.99225469,1,1,1,3,0
16.3412392,0,20,400,0,16,256,6.005479452,36.06578345,0,0,0,0,1,0,0,0,31,9,1.81,0,16.66621706,0,1,0,0,0
16.70588232,15,29,841,1,35,1225,17.0109589,289.3727228,1,0,0,0,1,0,0,0,34,240,1.87,1,13.30635021,0,0,1,5,0
14.50865774,0,29,841,1,7,49,11.50410959,132.3445374,0,0,0,1,0,0,0,0,34,104,1.76,0,12.7367009,0,0,0,4,0
16.81124283,0,20,400,1,34,1156,7.005479452,49.07674235,0,0,0,0,1,0,0,0,34,7,1.81,0,12.63134038,0,0,1,0,0
14.91412285,25,28,784,1,42,1764,12.00821918,144.1973278,2,0,1,0,0,0,0,0,34,87,1.93,5,14.92076739,0,0,0,3,0
15.76142071,0,25,625,0,7,49,9.005479452,81.09866016,0,0,0,0,1,0,0,0,5,1,1.85,0,11.98915964,0,1,0,5,0
15.60727003,12,27,729,0,14,196,10.00821918,100.1644511,0,0,0,0,1,0,0,0,5,180,1.77,2,11.69524702,0,1,1,5,0
16.30041721,28,26,676,1,13,169,18.01369863,324.4933383,0,0,0,0,1,0,0,0,5,116,1.91,2,12.93844054,0,1,0,3,0
14.91412285,26,27,729,0,16,256,17.0109589,289.3727228,0,0,0,0,1,0,0,0,5,109,1.88,4,12.75419405,0,1,0,4,0
15.60727003,15,27,729,1,50,2500,9.504109589,90.32809908,8,0,0,0,1,0,0,0,5,117,1.85,2,13.09807068,0,1,0,4,0
14.50865774,13,25,625,1,0,0,10.00821918,100.1644511,0,0,0,0,1,0,0,0,34,79,1.97,17,11.75194237,0,1,1,4,0
16.11809565,31,23,529,1,58,3364,14.0109589,196.3069694,3,0,0,0,1,0,0,0,34,127,1.84,0,12.9456262,0,1,1,3,0
13.12236338,2,19,361,0,5,25,3.498630137,12.24041284,0,0,0,0,1,0,0,0,34,2,1.77,10,11.60823564,0,1,0,1,1
12.4292162,21,36,1296,1,1,1,18.01369863,324.4933383,0,0,0,0,1,0,0,0,0,1,1.97,7,11.75194237,0,0,0,4,0
15.60727003,0,24,576,0,32,1024,10.00821918,100.1644511,0,0,0,0,1,0,0,0,0,31,1.86,0,12.09514108,0,0,1,1,0
16.11809565,0,23,529,1,96,9216,7.967123288,63.47505348,0,0,0,0,1,0,0,0,0,33,1.86,0,12.13350195,0,0,1,1,0
16.58809928,33,21,441,1,94,8836,15.0109589,225.3288872,6,0,0,0,1,0,0,0,0,127,1.81,0,13.38933241,1,0,1,3,0
15.06827353,30,28,784,0,14,196,10.00821918,100.1644511,1,0,0,0,1,0,0,0,10,56,1.93,0,12.90669184,0,0,0,0,0
16.11809565,33,24,576,1,0,0,9.005479452,81.09866016,0,0,0,0,1,0,0,0,34,87,1.92,1,13.12436138,0,0,1,5,0
15.60727003,33,24,576,0,8,64,8.005479452,64.08770126,2,0,0,0,1,0,0,0,34,67,1.88,0,12.6181823,0,0,1,1,0
13.52782849,32,34,1156,0,55,3025,19.01369863,361.5207356,0,0,0,0,1,0,0,0,34,166,1.79,0,12.94800999,0,0,1,5,0
15.06827353,25,27,729,1,83,6889,8.501369863,72.27328955,1,0,0,1,0,0,0,0,34,83,1.82,3,12.24047407,0,0,0,2,0
15.06827353,30,29,841,1,13,169,13.00821918,169.2137662,1,0,0,0,1,0,0,0,34,168,1.8,4,11.91170158,0,0,1,5,0
15.42494847,32,32,1024,1,167,27889,17.0109589,289.3727228,14,0,0,0,0,0,0,0,34,86,1.84,1,12.88916949,0,0,0,5,0
14.73180129,6,28,784,0,69,4761,13.00821918,169.2137662,0,0,0,0,1,0,0,0,34,153,1.86,1,12.24529336,0,0,1,5,0
14.73180129,0,28,784,1,0,0,11.00821918,121.1808895,0,0,0,0,1,0,0,0,34,27,1.95,0,11.47936868,0,0,1,2,0
14.22097567,21,30,900,0,22,484,16.0109589,256.350805,0,0,0,0,1,0,0,0,34,159,1.88,5,11.29725393,0,0,1,5,1
11.51292546,0,19,361,0,6,36,3.498630137,12.24041284,0,0,0,0,1,0,0,0,34,0,1.95,0,10.73639668,0,0,0,0,0
14.22097567,12,20,400,0,16,256,9.005479452,81.09866016,0,0,0,0,1,0,0,0,34,20,1.83,6,13.0689626,0,0,1,1,1
14.37512635,0,22,484,0,27,729,7.005479452,49.07674235,0,0,0,0,1,0,0,0,34,5,1.83,0,10.93310697,0,0,0,0,1
15.8949521,0,27,729,1,73,5329,12.00821918,144.1973278,0,0,0,0,1,0,0,0,34,11,1.83,0,13.23032052,0,0,1,4,1
15.42494847,16,25,625,1,14,196,10.00821918,100.1644511,0,0,0,0,1,0,0,0,34,108,1.85,4,12.80765263,0,0,1,4,0
14.73180129,12,31,961,1,11,121,16.0109589,256.350805,0,0,0,0,1,0,0,0,34,141,1.89,2,12.44114477,0,0,1,2,1
14.91412285,14,28,784,1,11,121,10.50410959,110.3363183,0,0,0,0,1,0,0,0,34,36,1.86,3,12.35449265,0,0,1,5,0
15.20180492,0,30,900,1,12,144,14.0109589,196.3069694,0,0,0,0,0,0,0,0,34,28,1.92,0,12.78828827,0,0,0,5,0
14.62644077,29,29,841,0,7,49,9.504109589,90.32809908,0,0,1,0,0,0,0,0,34,94,1.91,1,11.40422605,0,0,0,3,1
13.52782849,11,21,441,1,1,1,5.756164384,33.13342841,0,0,0,0,1,0,0,0,34,18,1.85,8,13.05622357,0,0,1,0,1
15.20180492,25,22,484,1,68,4624,6.005479452,36.06578345,1,0,0,0,1,0,0,0,34,48,1.87,1,11.45635511,0,0,1,1,1
14.82711147,0,24,576,1,59,3481,9.005479452,81.09866016,0,0,0,0,1,0,0,0,34,15,1.75,0,12.49874226,0,0,1,0,0
14.50865774,6,26,676,1,81,6561,9.504109589,90.32809908,2,1,0,0,0,0,0,0,34,16,1.84,0,12.25486281,0,0,1,1,0
12.89921983,0,20,400,0,47,2209,5.002739726,25.02740477,0,0,0,0,1,0,0,0,25,3,1.75,0,10.74289724,0,0,0,0,0
12.76568843,2,22,484,0,23,529,6.005479452,36.06578345,0,0,0,0,1,0,0,0,25,5,1.87,1,12.95038811,0,0,1,0,1
14.50865774,19,34,1156,0,144,20736,19.01369863,361.5207356,12,0,0,0,1,0,0,0,25,275,1.96,1,16.49653209,0,0,1,5,0
15.06827353,29,25,625,1,51,2601,10.00821918,100.1644511,3,0,0,0,1,0,0,0,25,86,1.85,1,12.7512997,0,0,1,3,0
15.06827353,26,23,529,1,24,576,10.00821918,100.1644511,0,0,0,0,1,0,0,0,34,54,1.78,4,17.17935215,0,0,0,2,1
14.22097567,25,34,1156,1,29,841,19.01369863,361.5207356,6,0,0,0,1,0,0,0,34,174,1.78,0,12.25008953,0,0,1,5,0
15.31958795,29,28,784,1,27,729,10.50410959,110.3363183,0,0,0,1,0,0,0,0,34,158,1.82,1,12.54254488,0,0,0,5,1
14.50865774,0,26,676,0,8,64,10.00821918,100.1644511,0,0,0,0,1,0,0,0,0,27,1.84,0,11.77528973,0,0,0,0,0
13.81551056,0,25,625,0,3,9,10.00821918,100.1644511,0,0,0,0,1,0,0,0,0,16,1.83,0,15.22405553,0,0,0,0,0
13.81551056,6,27,729,1,0,0,4.498630137,20.23767311,0,0,0,0,1,0,0,0,34,18,1.92,28,11.36093911,0,0,1,1,1
