id,IndSocio1,IndSocio2,IndSocio3,Altitude,HouseholdMem,Nrooms,Children,Lnincome,Water,Electricity,Gas,LnPriceWater,LnPriceElect,LnPriceGas
75,1,0,0,0,2,4,0,7.0845776,10,129,9.46,-0.33370528,-1.8021207,-0.43155354
76,1,0,0,0,2,6,0,6.769506,9,144,13.2,-0.33370528,-1.8021207,-0.43155354
77,1,0,0,0,3,4,1,6.9096432,11,194,14.96,-0.33370528,-1.8021207,-0.43155354
78,1,0,0,0,1,3,0,5.6754937,5,102,6.5999999,-0.33370528,-1.8021207,-0.43155354
79,1,0,0,0,4,4,1,6.9147067,5,179,18.26,-0.33370528,-1.8021207,-0.43155354
80,1,0,0,0,1,5,0,5.3240309,3,105,7.2600002,-0.33370528,-1.8021207,-0.43155354
81,1,0,0,0,3,4,1,6.3314552,12,155,19.360001,-0.33370528,-1.8021207,-0.43155354
82,1,0,0,1,4,5,1,7.0465322,6,167,28.6,-0.22760549,-1.8612965,-0.73570436
83,1,0,0,1,4,4,1,7.603653,9,177,42.68,-0.22760549,-1.8612965,-0.73570436
84,1,0,0,1,4,5,1,7.2248616,33,147,25.52,-0.22760549,-1.8612965,-0.73570436
85,1,0,0,1,4,4,1,8.7093239,24,157,34.32,-0.22760549,-1.8612965,-0.73570436
86,1,0,0,1,3,4,1,7.8194156,22,88,19.139999,-0.22760549,-1.8612965,-0.73570436
87,1,0,0,1,2,5,0,7.7356873,10,294,11.44,-0.22760549,-1.8612965,-0.73570436
88,1,0,0,1,3,3,1,7.5925865,33,137,11.44,-0.22760549,-1.8612965,-0.73570436
89,1,0,0,1,4,4,1,7.8002257,24,192,12.76,-0.22760549,-1.8612965,-0.73570436
90,1,0,0,1,3,4,1,8.6157751,24,147,17.82,-0.22760549,-1.8612965,-0.73570436
91,1,0,0,1,1,3,0,9.0091858,26,118,15.84,-0.22760549,-1.8612965,-0.73570436
92,1,0,0,1,3,4,0,7.7154846,9,63,10.78,-0.22760549,-1.8612965,-0.73570436
93,1,0,0,1,3,3,1,6.844089,29,353,17.82,-0.22760549,-1.8612965,-0.73570436
94,1,0,0,1,2,5,0,6.9887147,18,151,21.559999,-0.22760549,-1.8612965,-0.73570436
95,1,0,0,1,2,2,0,7.2287431,10,275,19.139999,-0.22760549,-1.8612965,-0.73570436
96,1,0,0,1,8,5,1,6.950376,16,186,35.639999,-0.22760549,-1.8612965,-0.73570436
97,1,0,0,1,2,4,0,6.8946843,12,90,22.219999,-0.22760549,-1.8612965,-0.73570436
98,1,0,0,1,6,4,1,6.1427784,37,314,56.759998,-0.22760549,-1.8612965,-0.73570436
99,1,0,0,1,4,5,1,7.7200093,14,373,19.139999,-0.22760549,-1.8612965,-0.73570436
100,1,0,0,0,4,3,1,7.7543998,19,326,14.3,-0.90201777,-1.7544729,-0.29825708
101,0,1,0,1,2,5,0,6.067678,0,307,0,0.17238888,-1.6943227,-0.49507058
102,1,0,0,0,3,4,1,7.4071832,0,253,0,-0.47608218,-1.9243628,-0.5750339
103,1,0,0,0,2,5,0,8.280592,32,317,16.5,-0.90201777,-1.7544729,-0.29825708
104,1,0,0,0,1,4,0,7.2522607,32,176,16.5,-0.90201777,-1.7544729,-0.29825708
105,1,0,0,1,3,5,0,8.0941381,51,27,45.98,-0.37719712,-1.8040836,-0.51336354
106,1,0,0,1,3,4,1,7.6501465,24,167,35.639999,-0.37719712,-1.8040836,-0.51336354
107,1,0,0,1,4,4,1,6.8828926,47,93,40.700001,-0.37719712,-1.8040836,-0.51336354
108,1,0,0,1,1,4,0,7.3790121,25,120,15.4,-0.37719712,-1.8040836,-0.51336354
109,0,1,0,1,3,5,1,7.0557852,36,154,25.74,0.02826805,-1.621762,-0.33941025
110,0,1,0,1,2,4,1,7.0157723,28,244,16.940001,0.02826805,-1.621762,-0.33941025
111,1,0,0,1,3,4,1,8.3669586,21,111,10.12,-0.37719712,-1.8040836,-0.51336354
112,0,1,0,1,1,4,0,6.222137,41,116,12.76,0.02826805,-1.621762,-0.33941025
113,0,1,0,1,4,5,1,7.9595475,43,158,42.68,0.02826805,-1.621762,-0.33941025
114,0,1,0,1,1,6,0,8.2780113,43,170,51.48,0.02826805,-1.621762,-0.33941025
115,0,1,0,1,3,3,1,7.397881,33,193,23.540001,0.02826805,-1.621762,-0.33941025
116,0,1,0,1,4,4,0,7.4315748,54,170,42.459999,0.02826805,-1.621762,-0.33941025
117,1,0,0,1,2,4,1,6.5764132,21,117,21.34,-0.37719712,-1.8040836,-0.51336354
118,0,1,0,1,2,4,0,7.8657403,46,232,29.92,0.02826805,-1.621762,-0.33941025
119,0,1,0,1,2,2,0,8.2056904,39,98,8.1400003,0.02826805,-1.621762,-0.33941025
120,1,0,0,1,2,4,0,6.9802451,17,106,15.62,-0.37719712,-1.8040836,-0.51336354
121,0,1,0,1,2,5,0,8.2607117,6,120,0,-0.29646596,-1.6191703,-0.41464302
122,0,1,0,1,2,3,1,8.2524948,14,185,0,-0.29646596,-1.6191703,-0.41464302
123,0,1,0,1,3,4,1,7.7367978,12,200,0,-0.29646596,-1.6191703,-0.41464302
124,1,0,0,0,4,5,1,5.4976406,22,240,9.46,-0.33370528,-1.8021207,-0.43155354
125,0,0,1,0,3,3,1,6.5536933,19,215,16.719999,0.14252883,-1.6197991,-0.24923204
126,0,1,0,0,5,4,1,8.3728514,19,216,21.559999,0.078404345,-1.6197991,-0.24923204
127,0,1,0,0,2,4,0,7.8028264,17,216,11.66,0.078404345,-1.6197991,-0.24923204
128,0,0,1,0,4,5,1,7.0004439,17,179,15.62,0.14252883,-1.6197991,-0.24923204
129,0,0,1,0,1,4,0,7.8002257,19,432,17.6,0.14252883,-1.6197991,-0.24923204
130,0,0,1,0,2,3,0,6.2032104,16,378,12.54,0.14252883,-1.6197991,-0.24923204
131,0,0,1,0,1,2,0,8.2056904,14,146,10.56,0.14252883,-1.6197991,-0.24923204
132,0,1,0,0,2,5,0,7.3884912,5,231,13.64,0.078404345,-1.6197991,-0.24923204
133,0,0,1,0,3,6,1,7.5925865,10,231,0,0.14252883,-1.6197991,-0.24923204
134,0,1,0,1,4,5,1,8.3326902,6,285,41.139999,-0.2205196,-1.5459858,-0.11577111
135,1,0,0,1,2,6,0,8.0578756,11,95,0,-0.62598473,-1.7283075,-0.29809263
136,1,0,0,1,3,6,1,8.0905609,14,412,0,-0.62598473,-1.7283075,-0.29809263
137,1,0,0,1,2,5,0,6.9470077,16,138,0,-0.62598473,-1.7283075,-0.29809263
138,1,0,0,1,3,5,1,7.9272256,7,167,0,-0.62598473,-1.7283075,-0.29809263
139,1,0,0,0,1,3,0,7.1066895,0,269,0,1.5185426,-2.0282471,-0.76104993
140,1,0,0,1,1,4,0,6.9396458,0,75,7.6999998,-0.22760549,-1.8612965,-0.73570436
141,1,0,0,1,4,4,1,7.2701182,8,79,22.879999,-0.22760549,-1.8612965,-0.73570436
142,1,0,0,1,2,4,1,6.0572562,32,132,18.040001,-0.22760549,-1.8612965,-0.73570436
143,1,0,0,1,3,4,1,7.7997046,13,338,42.900002,-0.51606953,-1.8052335,-0.95792496
144,1,0,0,1,1,2,0,7.089592,8,93,7.9200001,-0.51606953,-1.8052335,-0.95792496
145,1,0,0,1,1,2,0,6.7177329,5,52,5.5,-0.51606953,-1.8052335,-0.95792496
146,0,1,0,1,2,4,0,7.4920006,32,108,13.2,-0.11060438,-1.6229119,-0.77560341
147,0,1,0,1,2,4,1,7.5983644,13,148,9.8999996,-0.11060438,-1.6229119,-0.77560341
148,1,0,0,0,2,7,0,6.9237566,0,377,0,-0.27016044,-1.8607079,-0.83546948
149,0,1,0,1,2,3,0,4.8044934,28,493,29.92,-0.29646596,-1.6191703,-0.41464302
150,1,0,0,1,4,2,1,7.1070786,24,314,47.080002,-0.70193106,-1.801492,-0.59696466
151,1,0,0,1,3,4,1,7.3908467,18,259,18.92,-0.70193106,-1.801492,-0.59696466
152,1,0,0,0,2,4,0,7.3771057,6,314,10.78,-0.41508663,-1.9243628,-0.5750339
153,1,0,0,0,2,4,0,7.3947606,6,280,9.6800003,-0.41508663,-1.9243628,-0.5750339
154,1,0,0,0,3,3,1,7.3006215,6,355,10.78,-0.41508663,-1.9243628,-0.5750339
155,1,0,0,0,2,3,1,7.3503513,5,230,6.5999999,-0.41508663,-1.9243628,-0.5750339
156,1,0,0,0,3,3,1,7.3401723,5,314,11,-0.41508663,-1.9243628,-0.5750339
157,1,0,0,0,2,3,0,7.5496254,6,293,8.1400003,-0.41508663,-1.9243628,-0.5750339
158,1,0,0,0,4,4,1,6.0690908,6,314,36.299999,-0.62701249,-1.9243628,-0.76104993
159,1,0,0,0,2,4,1,8.160985,35,339,13.64,-0.90201777,-1.7544729,-0.29825708
160,1,0,0,1,1,7,0,6.6730852,1,115,19.799999,-0.51606953,-1.8052335,-0.95792496
161,1,0,0,1,3,5,1,7.1162033,5,148,23.76,-0.51606953,-1.8052335,-0.95792496
162,1,0,0,1,4,6,1,7.626616,10,148,27.940001,-0.51606953,-1.8052335,-0.95792496
163,1,0,0,1,2,6,0,8.3490696,17,223,27.940001,-0.51606953,-1.8052335,-0.95792496
164,1,0,0,1,5,5,1,8.5517893,17,223,47.740002,-0.51606953,-1.8052335,-0.95792496
165,1,0,0,1,5,4,1,2.8962002,19,253,16.280001,-0.51606953,-1.8052335,-0.95792496
166,1,0,0,1,1,5,0,6.5317144,3,78,1.76,-0.51606953,-1.8052335,-0.95792496
167,1,0,0,1,4,5,1,8.27283,8,154,28.379999,-0.51606953,-1.8052335,-0.95792496
168,1,0,0,1,2,3,0,7.5593476,5,74,8.8000002,-0.51606953,-1.8052335,-0.95792496
169,1,0,0,1,5,3,1,7.2432108,15,334,35.860001,-0.51606953,-1.8052335,-0.95792496
170,1,0,0,1,4,5,1,7.3884912,10,121,19.799999,-0.51606953,-1.8052335,-0.95792496
171,1,0,0,1,2,6,0,8.3381796,7,167,15.84,-0.51606953,-1.8052335,-0.95792496
172,1,0,0,0,6,3,1,7.725637,20,177,15.4,-0.27016044,-1.8607079,-0.83546948
173,1,0,0,1,2,3,0,7.8105884,0,222,0,-0.37719712,-1.8040836,-0.51336354
174,1,0,0,1,2,1,0,6.2154803,0,0,0,-0.37719712,-1.8040836,-0.51336354
175,1,0,0,1,4,3,1,5.7551856,0,0,0,-0.37719712,-1.8040836,-0.51336354
176,1,0,0,1,1,3,0,5.027637,11,139,0,-0.37719712,-1.8040836,-0.51336354
177,1,0,0,1,3,5,1,6.4987321,0,89,0,-0.37719712,-1.8040836,-0.51336354
178,1,0,0,1,3,4,1,6.7716351,0,0,0,-0.37719712,-1.8040836,-0.51336354
179,0,1,0,1,3,3,0,6.5471501,28,123,13.86,-0.29646596,-1.6191703,-0.41464302
180,0,0,1,1,4,6,1,7.5125437,35,169,0,-0.23192742,-1.6191703,-0.41464302
181,1,0,0,1,1,2,0,6.31319,5,157,0,-0.70193106,-1.801492,-0.59696466
182,0,0,1,1,4,5,1,8.599514,43,274,0,-0.23192742,-1.6191703,-0.41464302
183,1,0,0,1,1,3,0,6.4369965,5,118,14.52,-0.70193106,-1.801492,-0.59696466
184,0,1,0,1,3,6,1,6.1262493,24,139,0,-0.29646596,-1.6191703,-0.41464302
185,0,1,0,1,2,4,1,7.3302221,28,154,0,-0.29646596,-1.6191703,-0.41464302
186,0,1,0,1,2,6,1,8.9194574,28,169,0,-0.29646596,-1.6191703,-0.41464302
187,0,1,0,1,3,4,1,7.8249183,23,100,0,-0.29646596,-1.6191703,-0.41464302
188,1,0,0,1,6,5,1,6.5280037,10,185,13.2,-0.70193106,-1.801492,-0.59696466
189,1,0,0,1,2,3,0,7.5833163,7,78,0,-0.70193106,-1.801492,-0.59696466
190,1,0,0,0,4,4,1,7.6552,8,185,20.24,-0.33370528,-1.8021207,-0.43155354
191,0,1,0,0,6,9,1,7.6490836,26,392,23.98,0.078404345,-1.6197991,-0.24923204
192,0,0,1,0,2,4,0,7.5533657,35,287,5.9400001,0.14252883,-1.6197991,-0.24923204
193,0,0,1,0,3,5,0,8.0032244,16,191,22,0.14252883,-1.6197991,-0.24923204
194,1,0,0,0,3,4,1,8.1631317,14,203,9.46,-0.33370528,-1.8021207,-0.43155354
195,1,0,0,0,2,4,0,6.687295,10,228,13.2,-0.33370528,-1.8021207,-0.43155354
196,1,0,0,0,3,3,1,6.6539974,0,0,0,-0.33370528,-1.8021207,-0.43155354
197,0,1,0,1,6,5,1,7.4943233,32,157,51.48,-0.2205196,-1.5459858,-0.11577111
198,1,0,0,1,1,3,0,7.0645189,7,112,0,-0.62598473,-1.7283075,-0.29809263
199,1,0,0,1,2,5,1,8.118679,5,210,0,-0.62598473,-1.7283075,-0.29809263
200,0,1,0,1,3,5,1,7.7514515,21,358,0,-0.2205196,-1.5459858,-0.11577111
201,1,0,0,1,5,3,1,6.1262493,31,292,0,-0.62598473,-1.7283075,-0.29809263
202,1,0,0,1,5,5,1,8.493165,20,241,0,-0.62598473,-1.7283075,-0.29809263
203,1,0,0,1,2,3,1,5.9237251,33,129,0,-0.70193106,-1.801492,-0.59696466
204,1,0,0,1,2,2,0,7.5125437,33,129,0,-0.70193106,-1.801492,-0.59696466
205,1,0,0,1,3,3,1,6.5536933,5,98,17.82,-0.22760549,-1.8612965,-0.73570436
206,1,0,0,1,2,3,0,8.5301867,24,353,12.76,-0.22760549,-1.8612965,-0.73570436
207,0,1,0,1,1,7,0,6.973547,8,237,22.879999,0.17785959,-1.6789749,-0.55839533
208,0,1,0,1,5,6,1,8.4616241,8,278,47.959999,0.17785959,-1.6789749,-0.55839533
209,0,1,0,1,2,5,0,6.6370749,5,229,26.620001,0.17785959,-1.6789749,-0.55839533
210,0,1,0,1,1,4,0,7.6808791,12,177,20.9,0.17785959,-1.6789749,-0.55839533
211,0,1,0,1,4,5,1,7.5208426,20,327,37.400002,0.17785959,-1.6789749,-0.55839533
212,0,1,0,1,2,4,0,6.4139314,18,123,26.620001,0.17785959,-1.6789749,-0.55839533
213,1,0,0,0,3,4,1,7.056881,39,75,8.1400003,-0.46280986,-1.8612965,-0.29809263
214,1,0,0,0,2,4,0,7.773304,20,175,8.5799999,-0.46280986,-1.8612965,-0.29809263
215,1,0,0,0,1,4,0,6.1262493,14,108,3.3,-0.46280986,-1.8612965,-0.29809263
216,1,0,0,0,4,4,1,7.0491848,32,265,4.8400002,-0.90201777,-1.7544729,-0.29825708
217,1,0,0,0,3,4,1,7.1317711,53,265,4.8400002,-0.90201777,-1.7544729,-0.29825708
218,1,0,0,0,3,3,0,5.7207842,16,307,17.16,-0.90201777,-1.7544729,-0.29825708
219,0,0,1,1,1,7,0,7.3134151,8,198,0,-0.4480859,-1.6462864,-0.25210199
220,1,0,0,1,3,6,1,6.6437197,19,170,19.360001,-0.70193106,-1.801492,-0.59696466
221,1,0,0,1,3,4,1,6.3234596,43,190,16.719999,-0.70193106,-1.801492,-0.59696466
222,1,0,0,1,4,4,1,7.0046768,17,166,8.3599997,-0.70193106,-1.801492,-0.59696466
223,1,0,0,1,3,4,1,6.1907878,19,74,17.82,-0.70193106,-1.801492,-0.59696466
224,0,0,1,0,1,4,0,7.6702595,12,457,22.219999,-0.15700883,-1.7420412,-0.57872844
225,1,0,0,0,1,2,0,5.9439278,2,261,14.3,-0.62701249,-1.9243628,-0.76104993
226,1,0,0,0,1,2,0,6.8391991,6,272,26.18,-0.62701249,-1.9243628,-0.76104993
227,1,0,0,0,2,3,0,6.4753399,15,0,3.3,-0.62701249,-1.9243628,-0.76104993
228,1,0,0,0,2,4,0,7.0855994,13,258,3.3,-0.62701249,-1.9243628,-0.76104993
229,1,0,0,0,2,5,0,7.8490157,19,104,33.439999,-0.47608218,-1.9243628,-0.5750339
230,1,0,0,0,4,5,1,7.4914904,10,325,27.059999,-0.47608218,-1.9243628,-0.5750339
231,1,0,0,0,2,5,0,7.6948652,9,376,13.64,-0.47608218,-1.9243628,-0.5750339
232,1,0,0,0,4,5,1,7.693707,31,226,2.2,-0.47608218,-1.9243628,-0.5750339
233,1,0,0,0,2,4,0,7.9290586,8,355,31.459999,-0.47608218,-1.9243628,-0.5750339
234,1,0,0,0,1,1,0,5.7207842,0,0,16.280001,-0.47608218,-1.9243628,-0.5750339
235,1,0,0,0,2,5,0,8.0099459,17,232,19.58,-0.082045399,-1.9243628,-0.76104993
236,1,0,0,0,3,4,0,7.4656267,11,170,21.780001,-0.082045399,-1.9243628,-0.76104993
237,1,0,0,0,3,5,1,5.5334501,34,324,16.280001,-0.082045399,-1.9243628,-0.76104993
238,1,0,0,0,4,4,1,7.1598291,26,268,22.879999,-0.082045399,-1.9243628,-0.76104993
239,1,0,0,0,4,5,1,7.5925865,19,418,23.540001,-0.082045399,-1.9243628,-0.76104993
240,1,0,0,0,3,4,1,6.4139314,19,161,23.540001,-0.082045399,-1.9243628,-0.76104993
241,1,0,0,1,3,6,1,7.0601616,10,167,47.740002,-0.51606953,-1.8052335,-0.95792496
242,0,1,0,1,2,4,1,7.7674012,4,118,18.48,-0.11060438,-1.6229119,-0.77560341
243,1,0,0,1,2,4,0,7.4957366,13,148,9.46,-0.51606953,-1.8052335,-0.95792496
244,0,1,0,1,1,3,0,5.4219289,6,54,5.2800002,-0.11060438,-1.6229119,-0.77560341
245,1,0,0,1,4,5,1,7.7554898,22,145,19.799999,-0.51606953,-1.8052335,-0.95792496
246,1,0,0,1,1,3,0,7.7950039,5,152,11.88,-0.51606953,-1.8052335,-0.95792496
247,0,1,0,1,3,6,1,6.7171178,13,277,18.92,-0.11060438,-1.6229119,-0.77560341
248,0,1,0,1,3,4,1,7.4494858,20,309,26.4,-0.11060438,-1.6229119,-0.77560341
249,0,1,0,1,2,2,0,7.0701551,8,155,19.799999,-0.11060438,-1.6229119,-0.77560341
250,0,1,0,1,2,4,0,8.2056904,11,387,31.9,-0.11060438,-1.6229119,-0.77560341
251,0,1,0,1,1,2,0,7.1276979,2,93,16.5,-0.11060438,-1.6229119,-0.77560341
252,1,0,0,0,4,4,1,7.4858003,21,177,9.46,-0.27016044,-1.8607079,-0.83546948
253,1,0,0,0,2,4,0,6.5130224,24,167,18.92,-0.27016044,-1.8607079,-0.83546948
254,1,0,0,0,4,2,1,5.5967317,18,177,14.08,-0.27016044,-1.8607079,-0.83546948
255,1,0,0,0,2,3,1,6.1262493,0,163,21.120001,-0.27016044,-1.8607079,-0.83546948
256,1,0,0,0,2,3,0,6.2215595,14,98,17.6,-0.27016044,-1.8607079,-0.83546948
257,1,0,0,0,4,6,0,7.3504167,12,196,17.6,-0.27016044,-1.8607079,-0.83546948
258,1,0,0,0,3,3,1,6.6134653,29,157,24.639999,-0.27016044,-1.8607079,-0.83546948
259,1,0,0,0,5,5,1,7.3708839,9,167,56.32,-0.27016044,-1.8607079,-0.83546948
260,0,0,1,0,1,4,0,6.7504034,10,163,56.98,0.19984315,-1.6783862,-0.65314794
261,1,0,0,0,2,5,1,6.4847007,38,255,31.68,-0.27016044,-1.8607079,-0.83546948
262,1,0,0,0,2,4,0,8.5142469,19,264,20.9,-0.42873859,-1.8124036,-0.42495102
263,1,0,0,1,1,3,0,7.6456409,4,76,2.6400001,-0.37719712,-1.8040836,-0.51336354
264,1,0,0,1,4,5,1,6.8224874,11,222,28.6,-0.37719712,-1.8040836,-0.51336354
265,1,0,0,1,3,4,1,7.0472722,10,126,33.220001,-0.37719712,-1.8040836,-0.51336354
266,1,0,0,1,1,1,0,6.5092416,32,111,0,-0.37719712,-1.8040836,-0.51336354
267,1,0,0,1,1,2,0,6.2922463,23,161,10.12,-0.37719712,-1.8040836,-0.51336354
268,1,0,0,1,2,4,1,6.714036,7,58,27.719999,-0.37719712,-1.8040836,-0.51336354
269,1,0,0,1,1,4,0,5.5872526,6,70,11.44,-0.37719712,-1.8040836,-0.51336354
270,1,0,0,1,3,4,0,7.5986309,28,128,24.639999,-0.37719712,-1.8040836,-0.51336354
271,1,0,0,1,3,4,1,8.3481064,33,167,32.119999,-0.37719712,-1.8040836,-0.51336354
272,1,0,0,1,4,4,1,7.9124379,56,182,35.639999,-0.37719712,-1.8040836,-0.51336354
